blizzard_item_id,name,icon_url,slot_type,armor_type,quality_track,has_tooltip
6469,Venomstrike,https://wow.zamimg.com/images/wow/icons/medium/inv_weapon_bow_10.jpg,main_hand,,,yes
6472,Stinging Viper,https://wow.zamimg.com/images/wow/icons/medium/inv_wand_10.jpg,main_hand,,,yes
6473,Armor of the Fang,https://wow.zamimg.com/images/wow/icons/medium/inv_shirt_16.jpg,chest,leather,,yes
6627,Mutant Breastplate,https://wow.zamimg.com/images/wow/icons/medium/inv_chest_plate08.jpg,chest,plate,,yes
6629,Sporid Cape,https://wow.zamimg.com/images/wow/icons/medium/inv_misc_cape_17.jpg,back,,,yes
6630,Seedcloud Buckler,https://wow.zamimg.com/images/wow/icons/medium/inv_shield_10.jpg,off_hand,,,yes
6631,Living Root,https://wow.zamimg.com/images/wow/icons/medium/inv_staff_25.jpg,main_hand,,,yes
6641,Haunting Blade,https://wow.zamimg.com/images/wow/icons/medium/inv_sword_17.jpg,main_hand,,,yes
6642,Phantom Armor,https://wow.zamimg.com/images/wow/icons/medium/inv_chest_chain_05.jpg,chest,plate,,yes
6681,Thornspike,https://wow.zamimg.com/images/wow/icons/medium/inv_weapon_shortblade_10.jpg,main_hand,,,yes
6685,Death Speaker Mantle,https://wow.zamimg.com/images/wow/icons/medium/inv_shoulder_09.jpg,shoulder,cloth,,yes
6686,Tusken Helm,https://wow.zamimg.com/images/wow/icons/medium/inv_helmet_09.jpg,head,mail,,yes
6687,Corpsemaker,https://wow.zamimg.com/images/wow/icons/medium/inv_weapon_halbard_01.jpg,main_hand,,,yes
6688,Whisperwind Headdress,https://wow.zamimg.com/images/wow/icons/medium/inv_helmet_17.jpg,head,leather,,yes
6689,Wind Spirit Staff,https://wow.zamimg.com/images/wow/icons/medium/inv_staff_01.jpg,main_hand,,,yes
6690,Ferine Leggings,https://wow.zamimg.com/images/wow/icons/medium/inv_pants_14.jpg,legs,leather,,yes
6691,Swinetusk Shank,https://wow.zamimg.com/images/wow/icons/medium/inv_misc_bone_06.jpg,main_hand,,,yes
6692,Pronged Reaver,https://wow.zamimg.com/images/wow/icons/medium/inv_axe_18.jpg,main_hand,,,yes
6693,Agamaggan's Clutch,https://wow.zamimg.com/images/wow/icons/medium/inv_misc_bone_05.jpg,ring_1,,,yes
6694,Heart of Agamaggan,https://wow.zamimg.com/images/wow/icons/medium/inv_shield_02.jpg,off_hand,,,yes
6695,Stygian Bone Amulet,https://wow.zamimg.com/images/wow/icons/medium/inv_jewelry_necklace_04.jpg,neck,,,yes
6696,Nightstalker Bow,https://wow.zamimg.com/images/wow/icons/medium/inv_weapon_bow_12.jpg,main_hand,,,yes
6697,Batwing Mantle,https://wow.zamimg.com/images/wow/icons/medium/inv_shoulder_05.jpg,shoulder,cloth,,yes
6901,Glowing Thresher Cape,https://wow.zamimg.com/images/wow/icons/medium/inv_misc_monsterscales_03.jpg,back,,,yes
6902,Bands of Serra'kis,https://wow.zamimg.com/images/wow/icons/medium/inv_bracer_08.jpg,wrist,leather,,yes
6903,Gaze Dreamer Pants,https://wow.zamimg.com/images/wow/icons/medium/inv_pants_02.jpg,legs,cloth,,yes
6904,Bite of Serra'kis,https://wow.zamimg.com/images/wow/icons/medium/inv_misc_monsterfang_01.jpg,main_hand,,,yes
6905,Reef Axe,https://wow.zamimg.com/images/wow/icons/medium/inv_weapon_halberd_06.jpg,main_hand,,,yes
6906,Algae Fists,https://wow.zamimg.com/images/wow/icons/medium/inv_gauntlets_10.jpg,hands,plate,,yes
6907,Tortoise Armor,https://wow.zamimg.com/images/wow/icons/medium/inv_shirt_06.jpg,chest,mail,,yes
6908,Ghamoo-Ra's Bind,https://wow.zamimg.com/images/wow/icons/medium/inv_belt_24.jpg,waist,cloth,,yes
6909,Strike of the Hydra,https://wow.zamimg.com/images/wow/icons/medium/inv_sword_42.jpg,main_hand,,,yes
6910,Leech Pants,https://wow.zamimg.com/images/wow/icons/medium/inv_pants_14.jpg,legs,cloth,,yes
6911,Moss Cinch,https://wow.zamimg.com/images/wow/icons/medium/inv_belt_25.jpg,waist,leather,,yes
7230,Smite's Mighty Hammer,https://wow.zamimg.com/images/wow/icons/medium/inv_hammer_09.jpg,main_hand,,,yes
7415,Dervish Spaulders of the Quickblade,https://wow.zamimg.com/images/wow/icons/medium/inv_shoulder_08.jpg,shoulder,leather,,yes
8151,Flask of Mojo,https://wow.zamimg.com/images/wow/icons/medium/inv_potion_15.jpg,other,,,yes
9242,Ancient Tablet,https://wow.zamimg.com/images/wow/icons/medium/inv_misc_stonetablet_03.jpg,other,,,yes
9243,Shriveled Troll Heart,https://wow.zamimg.com/images/wow/icons/medium/inv_misc_organ_01.jpg,neck,,,yes
9379,Sang'thraze the Deflector,https://wow.zamimg.com/images/wow/icons/medium/inv_sword_45.jpg,main_hand,,,yes
9387,Revelosh's Boots,https://wow.zamimg.com/images/wow/icons/medium/inv_boots_plate_06.jpg,feet,mail,,yes
9388,Revelosh's Armguards,https://wow.zamimg.com/images/wow/icons/medium/inv_bracer_16.jpg,wrist,mail,,yes
9389,Revelosh's Spaulders,https://wow.zamimg.com/images/wow/icons/medium/inv_shoulder_25.jpg,shoulder,leather,,yes
9390,Revelosh's Gloves,https://wow.zamimg.com/images/wow/icons/medium/inv_gauntlets_17.jpg,hands,cloth,,yes
9394,Horned Viking Helmet,https://wow.zamimg.com/images/wow/icons/medium/inv_helmet_25.jpg,head,plate,,yes
9398,Worn Running Boots,https://wow.zamimg.com/images/wow/icons/medium/inv_boots_02.jpg,feet,leather,,yes
9400,Baelog's Shortbow,https://wow.zamimg.com/images/wow/icons/medium/inv_weapon_bow_11.jpg,main_hand,,,yes
9401,Nordic Longshank,https://wow.zamimg.com/images/wow/icons/medium/inv_sword_24.jpg,main_hand,,,yes
9403,Battered Viking Shield,https://wow.zamimg.com/images/wow/icons/medium/inv_shield_07.jpg,off_hand,,,yes
9404,Olaf's All Purpose Shield,https://wow.zamimg.com/images/wow/icons/medium/inv_shield_02.jpg,off_hand,,,yes
9407,Stoneweaver Leggings,https://wow.zamimg.com/images/wow/icons/medium/inv_pants_01.jpg,legs,cloth,,yes
9408,Ironshod Bludgeon,https://wow.zamimg.com/images/wow/icons/medium/inv_staff_28.jpg,main_hand,,,yes
9409,Ironaya's Bracers,https://wow.zamimg.com/images/wow/icons/medium/inv_bracer_19.jpg,wrist,mail,,yes
9410,Cragfists,https://wow.zamimg.com/images/wow/icons/medium/inv_gauntlets_12.jpg,hands,mail,,yes
9411,Rockshard Pauldrons,https://wow.zamimg.com/images/wow/icons/medium/inv_shoulder_02.jpg,shoulder,leather,,yes
9412,Galgann's Fireblaster,https://wow.zamimg.com/images/wow/icons/medium/inv_weapon_rifle_07.jpg,main_hand,,,yes
9413,The Rockpounder,https://wow.zamimg.com/images/wow/icons/medium/inv_hammer_12.jpg,main_hand,,,yes
9414,Oilskin Leggings,https://wow.zamimg.com/images/wow/icons/medium/inv_pants_06.jpg,legs,leather,,yes
9415,Grimlok's Tribal Vestments,https://wow.zamimg.com/images/wow/icons/medium/inv_shirt_05.jpg,chest,cloth,,yes
9416,Grimlok's Charge,https://wow.zamimg.com/images/wow/icons/medium/inv_spear_08.jpg,main_hand,,,yes
9418,Stoneslayer,https://wow.zamimg.com/images/wow/icons/medium/inv_sword_47.jpg,main_hand,,,yes
9419,Galgann's Firehammer,https://wow.zamimg.com/images/wow/icons/medium/inv_hammer_17.jpg,main_hand,,,yes
9445,Grubbis Paws,https://wow.zamimg.com/images/wow/icons/medium/inv_gauntlets_17.jpg,hands,plate,,yes
9446,Electrocutioner Leg,https://wow.zamimg.com/images/wow/icons/medium/inv_sword_30.jpg,main_hand,,,yes
9447,Electrocutioner Lagnut,https://wow.zamimg.com/images/wow/icons/medium/inv_misc_gear_04.jpg,ring_1,,,yes
9448,Spidertank Oilrag,https://wow.zamimg.com/images/wow/icons/medium/inv_misc_bandage_09.jpg,wrist,cloth,,yes
9449,Manual Crowd Pummeler,https://wow.zamimg.com/images/wow/icons/medium/inv_mace_14.jpg,main_hand,,,yes
9450,Gnomebot Operating Boots,https://wow.zamimg.com/images/wow/icons/medium/inv_boots_03.jpg,feet,leather,,yes
9452,Hydrocane,https://wow.zamimg.com/images/wow/icons/medium/inv_staff_15.jpg,main_hand,,,yes
9453,Toxic Revenger,https://wow.zamimg.com/images/wow/icons/medium/inv_weapon_shortblade_02.jpg,main_hand,,,yes
9454,Acidic Walkers,https://wow.zamimg.com/images/wow/icons/medium/inv_boots_05.jpg,feet,cloth,,yes
9458,Thermaplugg's Central Core,https://wow.zamimg.com/images/wow/icons/medium/inv_shield_10.jpg,off_hand,,,yes
9459,Thermaplugg's Left Arm,https://wow.zamimg.com/images/wow/icons/medium/inv_axe_03.jpg,main_hand,,,yes
9461,Charged Gear,https://wow.zamimg.com/images/wow/icons/medium/inv_misc_gear_01.jpg,ring_1,,,yes
9467,Gahz'rilla Fang,https://wow.zamimg.com/images/wow/icons/medium/inv_misc_monsterfang_01.jpg,main_hand,,,yes
9469,Gahz'rilla Scale Armor,https://wow.zamimg.com/images/wow/icons/medium/inv_chest_chain_06.jpg,chest,mail,,yes
9470,Bad Mojo Mask,https://wow.zamimg.com/images/wow/icons/medium/inv_banner_01.jpg,head,cloth,,yes
9473,Jinxed Hoodoo Skin,https://wow.zamimg.com/images/wow/icons/medium/inv_chest_leather_05.jpg,chest,leather,,yes
9474,Jinxed Hoodoo Kilt,https://wow.zamimg.com/images/wow/icons/medium/inv_pants_05.jpg,legs,leather,,yes
9475,Diabolic Skiver,https://wow.zamimg.com/images/wow/icons/medium/inv_spear_01.jpg,main_hand,,,yes
9476,Big Bad Pauldrons,https://wow.zamimg.com/images/wow/icons/medium/inv_shoulder_01.jpg,shoulder,plate,,yes
9477,The Chief's Enforcer,https://wow.zamimg.com/images/wow/icons/medium/inv_staff_goldfeathered_01.jpg,main_hand,,,yes
9478,Ripsaw,https://wow.zamimg.com/images/wow/icons/medium/inv_axe_07.jpg,main_hand,,,yes
9479,Embrace of the Lycan,https://wow.zamimg.com/images/wow/icons/medium/ability_mount_whitedirewolf.jpg,head,leather,,yes
9492,Electromagnetic Gigaflux Reactivator,https://wow.zamimg.com/images/wow/icons/medium/inv_gizmo_01.jpg,head,cloth,,yes
9639,The Hand of Antu'sul,https://wow.zamimg.com/images/wow/icons/medium/inv_mace_11.jpg,main_hand,,,yes
9640,Vice Grips,https://wow.zamimg.com/images/wow/icons/medium/inv_gauntlets_26.jpg,hands,plate,,yes
9641,Lifeblood Amulet,https://wow.zamimg.com/images/wow/icons/medium/inv_jewelry_necklace_02.jpg,neck,,,yes
9799,Ivycloth Sash of the Quickblade,https://wow.zamimg.com/images/wow/icons/medium/inv_belt_25.jpg,waist,cloth,,yes
10399,Blackened Defias Armor,https://wow.zamimg.com/images/wow/icons/medium/inv_chest_leather_08.jpg,chest,leather,,yes
10400,Blackened Defias Leggings,https://wow.zamimg.com/images/wow/icons/medium/inv_pants_12.jpg,legs,leather,,yes
10401,Blackened Defias Gloves,https://wow.zamimg.com/images/wow/icons/medium/inv_gauntlets_18.jpg,hands,leather,,yes
10402,Blackened Defias Boots,https://wow.zamimg.com/images/wow/icons/medium/inv_boots_05.jpg,feet,leather,,yes
10403,Blackened Defias Belt,https://wow.zamimg.com/images/wow/icons/medium/inv_belt_26.jpg,waist,leather,,yes
10410,Leggings of the Fang,https://wow.zamimg.com/images/wow/icons/medium/inv_pants_11.jpg,legs,leather,,yes
10411,Footpads of the Fang,https://wow.zamimg.com/images/wow/icons/medium/inv_boots_04.jpg,feet,leather,,yes
10412,Belt of the Fang,https://wow.zamimg.com/images/wow/icons/medium/inv_belt_30.jpg,waist,leather,,yes
10413,Gloves of the Fang,https://wow.zamimg.com/images/wow/icons/medium/inv_gauntlets_18.jpg,hands,leather,,yes
10758,X'caliboar,https://wow.zamimg.com/images/wow/icons/medium/inv_sword_45.jpg,main_hand,,,yes
10760,Swine Fists,https://wow.zamimg.com/images/wow/icons/medium/inv_gauntlets_23.jpg,hands,leather,,yes
10761,Coldrage Dagger,https://wow.zamimg.com/images/wow/icons/medium/inv_sword_34.jpg,main_hand,,,yes
10762,Robes of the Lich,https://wow.zamimg.com/images/wow/icons/medium/inv_chest_cloth_17.jpg,chest,cloth,,yes
10763,Icemetal Barbute,https://wow.zamimg.com/images/wow/icons/medium/inv_helmet_13.jpg,head,plate,,yes
10764,Deathchill Armor,https://wow.zamimg.com/images/wow/icons/medium/inv_chest_plate12.jpg,chest,mail,,yes
10765,Bonefingers,https://wow.zamimg.com/images/wow/icons/medium/inv_gauntlets_09.jpg,hands,leather,,yes
10766,Plaguerot Sprig,https://wow.zamimg.com/images/wow/icons/medium/inv_wand_03.jpg,main_hand,,,yes
10767,Savage Boar's Guard,https://wow.zamimg.com/images/wow/icons/medium/inv_shield_17.jpg,off_hand,,,yes
10768,Boar Champion's Belt,https://wow.zamimg.com/images/wow/icons/medium/inv_belt_11.jpg,waist,mail,,yes
10769,Glowing Eye of Mordresh,https://wow.zamimg.com/images/wow/icons/medium/inv_misc_orb_03.jpg,neck,,,yes
10770,Mordresh's Lifeless Skull,https://wow.zamimg.com/images/wow/icons/medium/inv_misc_bone_elfskull_01.jpg,off_hand,,,yes
10771,Deathmage Sash,https://wow.zamimg.com/images/wow/icons/medium/inv_belt_24.jpg,waist,cloth,,yes
10772,Glutton's Cleaver,https://wow.zamimg.com/images/wow/icons/medium/inv_axe_23.jpg,main_hand,,,yes
10774,Fleshhide Shoulders,https://wow.zamimg.com/images/wow/icons/medium/inv_shoulder_28.jpg,shoulder,leather,,yes
10775,Carapace of Tuten'kash,https://wow.zamimg.com/images/wow/icons/medium/inv_chest_plate08.jpg,chest,plate,,yes
10776,Silky Spider Cape,https://wow.zamimg.com/images/wow/icons/medium/inv_misc_cape_17.jpg,back,,,yes
10777,Arachnid Gloves,https://wow.zamimg.com/images/wow/icons/medium/inv_gauntlets_32.jpg,hands,leather,,yes
10795,Drakeclaw Band,https://wow.zamimg.com/images/wow/icons/medium/inv_jewelry_ring_04.jpg,ring_1,,,yes
10796,Drakestone,https://wow.zamimg.com/images/wow/icons/medium/inv_misc_orb_03.jpg,off_hand,,,yes
10797,Firebreather,https://wow.zamimg.com/images/wow/icons/medium/inv_sword_09.jpg,main_hand,,,yes
10803,Blade of the Wretched,https://wow.zamimg.com/images/wow/icons/medium/inv_sword_38.jpg,main_hand,,,yes
10804,Fist of the Damned,https://wow.zamimg.com/images/wow/icons/medium/inv_hammer_11.jpg,main_hand,,,yes
10805,Eater of the Dead,https://wow.zamimg.com/images/wow/icons/medium/inv_axe_12.jpg,main_hand,,,yes
10806,Vestments of the Atal'ai Prophet,https://wow.zamimg.com/images/wow/icons/medium/inv_chest_cloth_38.jpg,chest,cloth,,yes
10807,Kilt of the Atal'ai Prophet,https://wow.zamimg.com/images/wow/icons/medium/inv_pants_11.jpg,legs,cloth,,yes
10808,Gloves of the Atal'ai Prophet,https://wow.zamimg.com/images/wow/icons/medium/inv_gauntlets_17.jpg,hands,cloth,,yes
10828,Dire Nail,https://wow.zamimg.com/images/wow/icons/medium/inv_weapon_shortblade_16.jpg,main_hand,,,yes
10829,The Dragon's Eye,https://wow.zamimg.com/images/wow/icons/medium/inv_jewelry_amulet_04.jpg,neck,,,yes
10833,Horns of Eranikus,https://wow.zamimg.com/images/wow/icons/medium/inv_helmet_25.jpg,head,mail,,yes
10835,Crest of Supremacy,https://wow.zamimg.com/images/wow/icons/medium/inv_shield_04.jpg,off_hand,,,yes
10836,Rod of Corrosion,https://wow.zamimg.com/images/wow/icons/medium/inv_wand_04.jpg,main_hand,,,yes
10837,Tooth of Eranikus,https://wow.zamimg.com/images/wow/icons/medium/inv_axe_07.jpg,main_hand,,,yes
10838,Might of Hakkar,https://wow.zamimg.com/images/wow/icons/medium/inv_mace_11.jpg,main_hand,,,yes
10842,Windscale Sarong,https://wow.zamimg.com/images/wow/icons/medium/inv_pants_14.jpg,legs,leather,,yes
10843,Featherskin Cape,https://wow.zamimg.com/images/wow/icons/medium/inv_misc_cape_05.jpg,back,,,yes
10844,Spire of Hakkar,https://wow.zamimg.com/images/wow/icons/medium/inv_staff_32.jpg,main_hand,,,yes
10845,Warrior's Embrace,https://wow.zamimg.com/images/wow/icons/medium/inv_chest_plate08.jpg,chest,plate,,yes
10846,Bloodshot Greaves,https://wow.zamimg.com/images/wow/icons/medium/inv_boots_01.jpg,feet,mail,,yes
10847,Dragon's Call,https://wow.zamimg.com/images/wow/icons/medium/inv_sword_38.jpg,main_hand,,,yes
11086,Jang'thraze the Protector,https://wow.zamimg.com/images/wow/icons/medium/inv_sword_43.jpg,main_hand,,,yes
11118,Archaedic Stone,https://wow.zamimg.com/images/wow/icons/medium/inv_stone_15.jpg,ring_1,,,yes
11121,Darkwater Talwar,https://wow.zamimg.com/images/wow/icons/medium/inv_sword_36.jpg,main_hand,,,yes
11310,Flameseer Mantle,https://wow.zamimg.com/images/wow/icons/medium/inv_shoulder_05.jpg,shoulder,cloth,,yes
11311,Emberscale Cape,https://wow.zamimg.com/images/wow/icons/medium/inv_misc_cape_08.jpg,back,,,yes
11623,Spritecaster Cape,https://wow.zamimg.com/images/wow/icons/medium/inv_misc_cape_20.jpg,back,,,yes
11624,Kentic Amice,https://wow.zamimg.com/images/wow/icons/medium/inv_shoulder_25.jpg,shoulder,cloth,,yes
11625,Enthralled Sphere,https://wow.zamimg.com/images/wow/icons/medium/inv_misc_orb_03.jpg,off_hand,,,yes
11626,Blackveil Cape,https://wow.zamimg.com/images/wow/icons/medium/inv_misc_cape_18.jpg,back,,,yes
11627,Fleetfoot Greaves,https://wow.zamimg.com/images/wow/icons/medium/inv_boots_01.jpg,feet,mail,,yes
11628,Houndmaster's Bow,https://wow.zamimg.com/images/wow/icons/medium/inv_weapon_bow_04.jpg,main_hand,,,yes
11629,Houndmaster's Rifle,https://wow.zamimg.com/images/wow/icons/medium/inv_weapon_rifle_07.jpg,main_hand,,,yes
11631,Stoneshell Guard,https://wow.zamimg.com/images/wow/icons/medium/inv_shield_02.jpg,off_hand,,,yes
11632,Earthslag Shoulders,https://wow.zamimg.com/images/wow/icons/medium/inv_shoulder_26.jpg,shoulder,plate,,yes
11633,Spiderfang Carapace,https://wow.zamimg.com/images/wow/icons/medium/inv_chest_plate02.jpg,chest,plate,,yes
11634,Silkweb Gloves,https://wow.zamimg.com/images/wow/icons/medium/inv_gauntlets_12.jpg,hands,cloth,,yes
11635,Hookfang Shanker,https://wow.zamimg.com/images/wow/icons/medium/inv_weapon_shortblade_10.jpg,main_hand,,,yes
11662,Ban'thok Sash,https://wow.zamimg.com/images/wow/icons/medium/inv_belt_29.jpg,waist,cloth,,yes
11665,Ogreseer Fists,https://wow.zamimg.com/images/wow/icons/medium/inv_gauntlets_15.jpg,hands,leather,,yes
11669,Naglering,https://wow.zamimg.com/images/wow/icons/medium/inv_jewelry_ring_05.jpg,ring_1,,,yes
11675,Shadefiend Boots,https://wow.zamimg.com/images/wow/icons/medium/inv_boots_01.jpg,feet,leather,,yes
11677,Graverot Cape,https://wow.zamimg.com/images/wow/icons/medium/inv_misc_cape_19.jpg,back,,,yes
11678,Carapace of Anub'shiah,https://wow.zamimg.com/images/wow/icons/medium/inv_chest_plate08.jpg,chest,plate,,yes
11679,Rubicund Armguards,https://wow.zamimg.com/images/wow/icons/medium/inv_bracer_13.jpg,wrist,mail,,yes
11684,Ironfoe,https://wow.zamimg.com/images/wow/icons/medium/spell_frost_frostbrand.jpg,main_hand,,,yes
11685,Splinthide Shoulders,https://wow.zamimg.com/images/wow/icons/medium/inv_shoulder_13.jpg,shoulder,leather,,yes
11686,Girdle of Beastial Fury,https://wow.zamimg.com/images/wow/icons/medium/inv_belt_12.jpg,waist,leather,,yes
11702,Grizzle's Skinner,https://wow.zamimg.com/images/wow/icons/medium/inv_axe_12.jpg,main_hand,,,yes
11703,Stonewall Girdle,https://wow.zamimg.com/images/wow/icons/medium/inv_belt_16.jpg,waist,plate,,yes
11722,Dregmetal Spaulders,https://wow.zamimg.com/images/wow/icons/medium/inv_shoulder_30.jpg,shoulder,mail,,yes
11726,Savage Gladiator Chain,https://wow.zamimg.com/images/wow/icons/medium/inv_chest_chain_15.jpg,chest,mail,,yes
11728,Savage Gladiator Leggings,https://wow.zamimg.com/images/wow/icons/medium/inv_pants_03.jpg,legs,mail,,yes
11729,Savage Gladiator Helm,https://wow.zamimg.com/images/wow/icons/medium/inv_helmet_01.jpg,head,mail,,yes
