id,source_id,spec_id,hero_talent_id,item_id,blizzard_item_id,item_name,tier,sort_order
1234,3,3,,2017,151307,Void Stalker's Contract,A,0
1253,3,3,,31226,246306,Darkmoon Dominion: Rot,C,1
1242,3,3,,5733,250227,Kroluk's Warbanner,B,1
1261,3,3,,14,250256,Heart of Wind,D,1
1231,3,3,,1349,260235,Umbral Plume,S,1
1235,3,3,,2059,249339,Gloom-Spattered Dreadscale,A,1
1262,3,3,,17009,251787,Sealed Chaos Urn,D,2
1254,3,3,,18474,251791,Holy Retributor's Order,C,2
1243,3,3,,16570,251785,Void-Reaper's Libram,B,2
1236,3,3,,5727,250226,Latch's Crooked Hook,A,2
1232,3,3,,29,249343,Gaze of the Alnseer,S,2
1255,3,3,,30,249344,Light Company Guidon,C,3
1237,3,3,,15,252420,Solarflare Prism,A,3
1263,3,3,,31224,246305,Darkmoon Dominion: Blood,D,3
1233,3,3,,5877,249345,Ranger-Captain's Iridescent Insignia,S,3
1244,3,3,,1335,250258,Vessel of Tortured Souls,B,3
1238,3,3,,5789,249805,Undreamt God's Oozing Vestige,A,4
1256,3,3,,30467,264694,Ultradon Cuirass,C,4
1245,3,3,,5581,250257,Eye of the Drowning Void,B,4
1239,3,3,,2016,151312,Ampoule of Pure Void,A,5
1257,3,3,,149,250144,Emberwing Feather,C,5
1246,3,3,,59,193701,Algeth'ar Puzzle Box,B,5
1258,3,3,,31208,246304,Darkmoon Dominion: Hunt,C,6
1240,3,3,,9091,252421,Rotting Globule,A,6
1247,3,3,,16482,251792,Glorious Crusader's Keepsake,B,6
1248,3,3,,17352,251790,Desecrated Chalice,B,7
1259,3,3,,5893,249807,The Eternal Egg,C,7
1249,3,3,,31233,246307,Darkmoon Dominion: Void,B,8
1250,3,3,,31234,241340,Magister's Alchemist Stone,B,9
1251,3,3,,12027,252418,Solar Core Igniter,B,10
510,3,4,,2016,151312,Ampoule of Pure Void,C,0
495,3,4,,5893,249807,The Eternal Egg,A,0
502,3,4,,12027,252418,Solar Core Igniter,B,0
491,3,4,,29,249343,Gaze of the Alnseer,S,0
511,3,4,,5733,250227,Kroluk's Warbanner,C,1
496,3,4,,2059,249339,Gloom-Spattered Dreadscale,A,1
503,3,4,,5703,250245,Tumor of the Swarm,B,1
492,3,4,,59,193701,Algeth'ar Puzzle Box,S,1
504,3,4,,5615,250243,Manaheart's Binding Flame,B,2
512,3,4,,5727,250226,Latch's Crooked Hook,C,2
497,3,4,,149,250144,Emberwing Feather,A,2
493,3,4,,485,249806,Radiant Plume,S,2
513,3,4,,2017,151307,Void Stalker's Contract,C,3
498,3,4,,5789,249805,Undreamt God's Oozing Vestige,A,3
505,3,4,,5575,250242,Jelly Replicator,B,3
494,3,4,,1349,260235,Umbral Plume,S,3
506,3,4,,5581,250257,Eye of the Drowning Void,B,4
499,3,4,,30,249344,Light Company Guidon,A,4
507,3,4,,1335,250258,Vessel of Tortured Souls,B,5
500,3,4,,15,252420,Solarflare Prism,A,5
508,3,4,,5877,249345,Ranger-Captain's Iridescent Insignia,B,6
501,3,4,,14,250256,Heart of Wind,A,6
509,3,4,,9091,252421,Rotting Globule,B,7
316,3,5,,29,249343,Gaze of the Alnseer,S,0
318,3,5,,15,252420,Solarflare Prism,A,0
323,3,5,,1335,250258,Vessel of Tortured Souls,B,0
341,3,5,,5575,250242,Jelly Replicator,D,0
331,3,5,,18400,251783,Lost Idol of the Hash'ey,C,0
332,3,5,,149,250144,Emberwing Feather,C,1
324,3,5,,14,250256,Heart of Wind,B,1
342,3,5,,5727,250226,Latch's Crooked Hook,D,1
317,3,5,,30,249344,Light Company Guidon,S,1
319,3,5,,1349,260235,Umbral Plume,A,1
343,3,5,,2017,151307,Void Stalker's Contract,D,2
333,3,5,,5581,250257,Eye of the Drowning Void,C,2
320,3,5,,2059,249339,Gloom-Spattered Dreadscale,A,2
325,3,5,,30467,264694,Ultradon Cuirass,B,2
334,3,5,,5893,249807,The Eternal Egg,C,3
326,3,5,,9091,252421,Rotting Globule,B,3
321,3,5,,16759,251782,Withered Saptor's Paw,A,3
344,3,5,,17352,251790,Desecrated Chalice,D,3
345,3,5,,17009,251787,Sealed Chaos Urn,D,4
327,3,5,,5877,249345,Ranger-Captain's Iridescent Insignia,B,4
335,3,5,,16570,251785,Void-Reaper's Libram,C,4
322,3,5,,16482,251792,Glorious Crusader's Keepsake,A,4
336,3,5,,485,249806,Radiant Plume,C,5
328,3,5,,5789,249805,Undreamt God's Oozing Vestige,B,5
337,3,5,,18474,251791,Holy Retributor's Order,C,6
329,3,5,,59,193701,Algeth'ar Puzzle Box,B,6
330,3,5,,12027,252418,Solar Core Igniter,B,7
338,3,5,,2016,151312,Ampoule of Pure Void,C,7
339,3,5,,5733,250227,Kroluk's Warbanner,C,8
340,3,5,,17046,251784,Sylvan Wakrapuku,C,9
39,3,6,,29,249343,Gaze of the Alnseer,S,0
41,3,6,,1349,260235,Umbral Plume,A,0
46,3,6,,31208,246304,Darkmoon Dominion: Hunt,B,0
54,3,6,,5658,250241,Mark of Light,C,0
47,3,6,,5789,249805,Undreamt God's Oozing Vestige,B,1
40,3,6,,30,249344,Light Company Guidon,S,1
55,3,6,,31226,246306,Darkmoon Dominion: Rot,C,1
42,3,6,,2570,249342,Heart of Ancient Hunger,A,1
56,3,6,,31224,246305,Darkmoon Dominion: Blood,C,2
48,3,6,,59,193701,Algeth'ar Puzzle Box,B,2
43,3,6,,485,249806,Radiant Plume,A,2
49,3,6,,1335,250258,Vessel of Tortured Souls,B,3
44,3,6,,15,252420,Solarflare Prism,A,3
57,3,6,,31234,241340,Magister's Alchemist Stone,C,3
45,3,6,,14,250256,Heart of Wind,A,4
50,3,6,,5733,250227,Kroluk's Warbanner,B,4
51,3,6,,5727,250226,Latch's Crooked Hook,B,5
52,3,6,,14807,193719,Dragon Games Equipment,B,6
53,3,6,,31233,246307,Darkmoon Dominion: Void,B,7
2143,3,7,,5907,249811,Light of the Cosmic Crescendo,A,0
2140,3,7,,299,264507,Crucible of Erratic Energies,S,0
2159,3,7,,31234,241340,Magister's Alchemist Stone,D,0
2154,3,7,,12106,252411,Radiant Sunstone,C,0
2148,3,7,,5650,250253,Whisper of the Duskwraith,B,0
2160,3,7,,20658,264701,Cosmic Bell,D,1
2144,3,7,,1137,249808,Litany of Lightblind Wrath,A,1
2149,3,7,,14,250256,Heart of Wind,B,1
2141,3,7,,29,249343,Gaze of the Alnseer,S,1
2155,3,7,,16482,251792,Glorious Crusader's Keepsake,C,1
2150,3,7,,13408,151340,Echo of L'ura,B,2
2156,3,7,,17214,251788,Gift of Light,C,2
2145,3,7,,16769,248583,Drum of Renewed Bonds,A,2
2142,3,7,,334,249809,Locus-Walker's Ribbon,S,2
2157,3,7,,23109,251789,Consecrated Chalice,C,3
2146,3,7,,165,249346,Vaelgor's Final Stare,A,3
2151,3,7,,5562,250246,Refueling Orb,B,3
2158,3,7,,9102,50259,Nevermelting Ice Crystal,C,4
2147,3,7,,3782,193718,Emerald Coach's Whistle,A,4
2152,3,7,,149,250144,Emberwing Feather,B,4
2153,3,7,,5837,249341,Volatile Void Suffuser,B,5
1640,3,8,,5562,250246,Refueling Orb,C,0
1633,3,8,,14,250256,Heart of Wind,A,0
1636,3,8,,3782,193718,Emerald Coach's Whistle,B,0
1630,3,8,,165,249346,Vaelgor's Final Stare,S,0
1643,3,8,,1335,250258,Vessel of Tortured Souls,D,0
1644,3,8,,20658,264701,Cosmic Bell,D,1
1641,3,8,,31234,241340,Magister's Alchemist Stone,C,1
1637,3,8,,16482,251792,Glorious Crusader's Keepsake,B,1
1634,3,8,,5837,249341,Volatile Void Suffuser,A,1
1631,3,8,,1137,249808,Litany of Lightblind Wrath,S,1
1632,3,8,,334,249809,Locus-Walker's Ribbon,S,2
1645,3,8,,17009,251787,Sealed Chaos Urn,D,2
1642,3,8,,17214,251788,Gift of Light,C,2
1638,3,8,,29,249343,Gaze of the Alnseer,B,2
1635,3,8,,149,250144,Emberwing Feather,A,2
1646,3,8,,23109,251789,Consecrated Chalice,D,3
1639,3,8,,5907,249811,Light of the Cosmic Crescendo,B,3
1647,3,8,,16952,251786,Ever-Collapsing Void Fissure,D,4
1696,3,9,,17214,251788,Gift of Light,C,0
1689,3,9,,29,249343,Gaze of the Alnseer,B,0
1684,3,9,,1137,249808,Litany of Lightblind Wrath,S,0
1686,3,9,,3782,193718,Emerald Coach's Whistle,A,0
1697,3,9,,1335,250258,Vessel of Tortured Souls,D,0
1687,3,9,,165,249346,Vaelgor's Final Stare,A,1
1685,3,9,,334,249809,Locus-Walker's Ribbon,S,1
1690,3,9,,5837,249341,Volatile Void Suffuser,B,1
1698,3,9,,20658,264701,Cosmic Bell,D,1
1691,3,9,,149,250144,Emberwing Feather,B,2
1699,3,9,,17009,251787,Sealed Chaos Urn,D,2
1688,3,9,,14,250256,Heart of Wind,A,2
1700,3,9,,23109,251789,Consecrated Chalice,D,3
1692,3,9,,5907,249811,Light of the Cosmic Crescendo,B,3
1693,3,9,,16482,251792,Glorious Crusader's Keepsake,B,4
1701,3,9,,16952,251786,Ever-Collapsing Void Fissure,D,4
1694,3,9,,5562,250246,Refueling Orb,B,5
1695,3,9,,31234,241340,Magister's Alchemist Stone,B,6
1438,3,10,,29,249343,Gaze of the Alnseer,S,0
1441,3,10,,5907,249811,Light of the Cosmic Crescendo,A,0
1446,3,10,,3782,193718,Emerald Coach's Whistle,B,0
1454,3,10,,13408,151340,Echo of L'ura,D,0
1449,3,10,,5650,250253,Whisper of the Duskwraith,C,0
1450,3,10,,12106,252411,Radiant Sunstone,C,1
1455,3,10,,31234,241340,Magister's Alchemist Stone,D,1
1442,3,10,,165,249346,Vaelgor's Final Stare,A,1
1439,3,10,,334,249809,Locus-Walker's Ribbon,S,1
1447,3,10,,5750,250462,Forgotten Farstrider's Insignia,B,1
1451,3,10,,5562,250246,Refueling Orb,C,2
1448,3,10,,5837,249341,Volatile Void Suffuser,B,2
1440,3,10,,1137,249808,Litany of Lightblind Wrath,S,2
1443,3,10,,299,264507,Crucible of Erratic Energies,A,2
1444,3,10,,14,250256,Heart of Wind,A,3
1452,3,10,,1335,250258,Vessel of Tortured Souls,C,3
1445,3,10,,149,250144,Emberwing Feather,A,4
1453,3,10,,9102,50259,Nevermelting Ice Crystal,C,4
1338,3,11,,31234,241340,Magister's Alchemist Stone,F,0
1314,3,11,,1137,249808,Litany of Lightblind Wrath,S,0
1316,3,11,,334,249809,Locus-Walker's Ribbon,A,0
1321,3,11,,5907,249811,Light of the Cosmic Crescendo,B,0
1325,3,11,,3782,193718,Emerald Coach's Whistle,C,0
1329,3,11,,21177,241291,Primal Philosopher's Stone,D,0
1330,3,11,,12106,252411,Radiant Sunstone,D,1
1315,3,11,,29,249343,Gaze of the Alnseer,S,1
1317,3,11,,14,250256,Heart of Wind,A,1
1322,3,11,,165,249346,Vaelgor's Final Stare,B,1
1326,3,11,,5650,250253,Whisper of the Duskwraith,C,1
1327,3,11,,5562,250246,Refueling Orb,C,2
1331,3,11,,9102,50259,Nevermelting Ice Crystal,D,2
1323,3,11,,16482,251792,Glorious Crusader's Keepsake,B,2
1318,3,11,,299,264507,Crucible of Erratic Energies,A,2
1332,3,11,,17214,251788,Gift of Light,D,3
1319,3,11,,5837,249341,Volatile Void Suffuser,A,3
1324,3,11,,16769,248583,Drum of Renewed Bonds,B,3
1328,3,11,,13408,151340,Echo of L'ura,C,3
1320,3,11,,149,250144,Emberwing Feather,A,4
1333,3,11,,1335,250258,Vessel of Tortured Souls,D,4
1334,3,11,,23109,251789,Consecrated Chalice,D,5
1335,3,11,,16952,251786,Ever-Collapsing Void Fissure,D,6
1336,3,11,,30467,264694,Ultradon Cuirass,D,7
1337,3,11,,20658,264701,Cosmic Bell,D,8
747,3,12,,29,249343,Gaze of the Alnseer,A,0
757,3,12,,1335,250258,Vessel of Tortured Souls,D,0
756,3,12,,17214,251788,Gift of Light,C,0
753,3,12,,5907,249811,Light of the Cosmic Crescendo,B,0
744,3,12,,334,249809,Locus-Walker's Ribbon,S,0
758,3,12,,20658,264701,Cosmic Bell,D,1
745,3,12,,165,249346,Vaelgor's Final Stare,S,1
748,3,12,,14,250256,Heart of Wind,A,1
754,3,12,,5837,249341,Volatile Void Suffuser,B,1
755,3,12,,5562,250246,Refueling Orb,B,2
759,3,12,,17009,251787,Sealed Chaos Urn,D,2
749,3,12,,149,250144,Emberwing Feather,A,2
746,3,12,,1137,249808,Litany of Lightblind Wrath,S,2
760,3,12,,23109,251789,Consecrated Chalice,D,3
750,3,12,,16482,251792,Glorious Crusader's Keepsake,A,3
751,3,12,,299,264507,Crucible of Erratic Energies,A,4
761,3,12,,16952,251786,Ever-Collapsing Void Fissure,D,4
752,3,12,,3782,193718,Emerald Coach's Whistle,A,5
762,3,12,,31234,241340,Magister's Alchemist Stone,D,5
562,3,13,,1335,250258,Vessel of Tortured Souls,D,0
550,3,13,,29,249343,Gaze of the Alnseer,S,0
553,3,13,,165,249346,Vaelgor's Final Stare,A,0
558,3,13,,5907,249811,Light of the Cosmic Crescendo,B,0
561,3,13,,17214,251788,Gift of Light,C,0
559,3,13,,5837,249341,Volatile Void Suffuser,B,1
551,3,13,,334,249809,Locus-Walker's Ribbon,S,1
554,3,13,,14,250256,Heart of Wind,A,1
563,3,13,,20658,264701,Cosmic Bell,D,1
560,3,13,,5562,250246,Refueling Orb,B,2
555,3,13,,149,250144,Emberwing Feather,A,2
564,3,13,,17009,251787,Sealed Chaos Urn,D,2
552,3,13,,1137,249808,Litany of Lightblind Wrath,S,2
565,3,13,,23109,251789,Consecrated Chalice,D,3
556,3,13,,16482,251792,Glorious Crusader's Keepsake,A,3
557,3,13,,3782,193718,Emerald Coach's Whistle,A,4
566,3,13,,16952,251786,Ever-Collapsing Void Fissure,D,4
567,3,13,,31234,241340,Magister's Alchemist Stone,D,5
2342,3,14,,1335,250258,Vessel of Tortured Souls,B,0
2335,3,14,,29,249343,Gaze of the Alnseer,S,0
2346,3,14,,14807,193719,Dragon Games Equipment,C,0
2338,3,14,,1349,260235,Umbral Plume,A,0
2347,3,14,,5658,250241,Mark of Light,C,1
2336,3,14,,2570,249342,Heart of Ancient Hunger,S,1
2343,3,14,,14,250256,Heart of Wind,B,1
2339,3,14,,485,249806,Radiant Plume,A,1
2337,3,14,,59,193701,Algeth'ar Puzzle Box,S,2
2348,3,14,,5733,250227,Kroluk's Warbanner,C,2
2340,3,14,,30,249344,Light Company Guidon,A,2
2344,3,14,,5789,249805,Undreamt God's Oozing Vestige,B,2
2345,3,14,,5727,250226,Latch's Crooked Hook,B,3
2349,3,14,,2017,151307,Void Stalker's Contract,C,3
2341,3,14,,15,252420,Solarflare Prism,A,3
2380,3,15,,29,249343,Gaze of the Alnseer,S,0
2391,3,15,,14807,193719,Dragon Games Equipment,C,0
2387,3,15,,1335,250258,Vessel of Tortured Souls,B,0
2383,3,15,,1349,260235,Umbral Plume,A,0
2392,3,15,,5658,250241,Mark of Light,C,1
2388,3,15,,14,250256,Heart of Wind,B,1
2384,3,15,,485,249806,Radiant Plume,A,1
2381,3,15,,2570,249342,Heart of Ancient Hunger,S,1
2385,3,15,,30,249344,Light Company Guidon,A,2
2389,3,15,,5789,249805,Undreamt God's Oozing Vestige,B,2
2382,3,15,,59,193701,Algeth'ar Puzzle Box,S,2
2393,3,15,,5733,250227,Kroluk's Warbanner,C,2
2394,3,15,,2017,151307,Void Stalker's Contract,C,3
2386,3,15,,15,252420,Solarflare Prism,A,3
2390,3,15,,5727,250226,Latch's Crooked Hook,B,3
2074,3,16,,29,249343,Gaze of the Alnseer,S,0
2080,3,16,,30,249344,Light Company Guidon,B,0
2077,3,16,,149,250144,Emberwing Feather,A,0
2097,3,16,,17009,251787,Sealed Chaos Urn,F,0
2091,3,16,,31233,246307,Darkmoon Dominion: Void,D,0
2085,3,16,,5581,250257,Eye of the Drowning Void,C,0
2092,3,16,,31234,241340,Magister's Alchemist Stone,D,1
2078,3,16,,15,252420,Solarflare Prism,A,1
2086,3,16,,5727,250226,Latch's Crooked Hook,C,1
2075,3,16,,485,249806,Radiant Plume,S,1
2081,3,16,,1335,250258,Vessel of Tortured Souls,B,1
2079,3,16,,14,250256,Heart of Wind,A,2
2093,3,16,,16570,251785,Void-Reaper's Libram,D,2
2076,3,16,,59,193701,Algeth'ar Puzzle Box,S,2
2087,3,16,,18400,251783,Lost Idol of the Hash'ey,C,2
2082,3,16,,5877,249345,Ranger-Captain's Iridescent Insignia,B,2
2083,3,16,,16482,251792,Glorious Crusader's Keepsake,B,3
2094,3,16,,31226,246306,Darkmoon Dominion: Rot,D,3
2088,3,16,,2017,151307,Void Stalker's Contract,C,3
2089,3,16,,31208,246304,Darkmoon Dominion: Hunt,C,4
2084,3,16,,5789,249805,Undreamt God's Oozing Vestige,B,4
2095,3,16,,16759,251782,Withered Saptor's Paw,D,4
2096,3,16,,17046,251784,Sylvan Wakrapuku,D,5
2090,3,16,,31224,246305,Darkmoon Dominion: Blood,C,5
1816,3,17,,30,249344,Light Company Guidon,B,0
1806,3,17,,29,249343,Gaze of the Alnseer,S,0
1820,3,17,,18474,251791,Holy Retributor's Order,C,0
1808,3,17,,485,249806,Radiant Plume,A,0
1824,3,17,,5727,250226,Latch's Crooked Hook,D,0
1817,3,17,,14,250256,Heart of Wind,B,1
1825,3,17,,2017,151307,Void Stalker's Contract,D,1
1821,3,17,,31208,246304,Darkmoon Dominion: Hunt,C,1
1807,3,17,,59,193701,Algeth'ar Puzzle Box,S,1
1809,3,17,,1349,260235,Umbral Plume,A,1
1826,3,17,,31233,246307,Darkmoon Dominion: Void,D,2
1822,3,17,,16759,251782,Withered Saptor's Paw,C,2
1818,3,17,,18400,251783,Lost Idol of the Hash'ey,B,2
1810,3,17,,149,250144,Emberwing Feather,A,2
1819,3,17,,5581,250257,Eye of the Drowning Void,B,3
1811,3,17,,15,252420,Solarflare Prism,A,3
1827,3,17,,31226,246306,Darkmoon Dominion: Rot,D,3
1823,3,17,,16570,251785,Void-Reaper's Libram,C,3
1828,3,17,,31224,246305,Darkmoon Dominion: Blood,D,4
1812,3,17,,5733,250227,Kroluk's Warbanner,A,4
1829,3,17,,5750,250462,Forgotten Farstrider's Insignia,D,5
1813,3,17,,5877,249345,Ranger-Captain's Iridescent Insignia,A,5
1814,3,17,,5789,249805,Undreamt God's Oozing Vestige,A,6
1830,3,17,,17046,251784,Sylvan Wakrapuku,D,6
1815,3,17,,299,264507,Crucible of Erratic Energies,A,7
1831,3,17,,16482,251792,Glorious Crusader's Keepsake,D,7
1832,3,17,,17009,251787,Sealed Chaos Urn,D,8
1833,3,17,,1335,250258,Vessel of Tortured Souls,D,9
1882,3,18,,485,249806,Radiant Plume,A,0
1889,3,18,,149,250144,Emberwing Feather,C,0
1891,3,18,,1335,250258,Vessel of Tortured Souls,D,0
1887,3,18,,5581,250257,Eye of the Drowning Void,B,0
1878,3,18,,29,249343,Gaze of the Alnseer,S,0
1883,3,18,,14,250256,Heart of Wind,A,1
1879,3,18,,1349,260235,Umbral Plume,S,1
1888,3,18,,2017,151307,Void Stalker's Contract,B,1
1890,3,18,,59,193701,Algeth'ar Puzzle Box,C,1
1892,3,18,,5789,249805,Undreamt God's Oozing Vestige,D,1
1880,3,18,,5877,249345,Ranger-Captain's Iridescent Insignia,S,2
1884,3,18,,5727,250226,Latch's Crooked Hook,A,2
1893,3,18,,5750,250462,Forgotten Farstrider's Insignia,D,2
1894,3,18,,18400,251783,Lost Idol of the Hash'ey,D,3
1881,3,18,,15,252420,Solarflare Prism,S,3
1885,3,18,,30,249344,Light Company Guidon,A,3
1895,3,18,,31234,241340,Magister's Alchemist Stone,D,4
1886,3,18,,5733,250227,Kroluk's Warbanner,A,4
1896,3,18,,31233,246307,Darkmoon Dominion: Void,D,5
1897,3,18,,31226,246306,Darkmoon Dominion: Rot,D,6
1898,3,18,,31208,246304,Darkmoon Dominion: Hunt,D,7
1899,3,18,,31224,246305,Darkmoon Dominion: Blood,D,8
1965,3,19,,1335,250258,Vessel of Tortured Souls,C,0
1971,3,19,,31224,246305,Darkmoon Dominion: Blood,D,0
1950,3,19,,30,249344,Light Company Guidon,S,0
1952,3,19,,485,249806,Radiant Plume,A,0
1957,3,19,,14,250256,Heart of Wind,B,0
1951,3,19,,29,249343,Gaze of the Alnseer,S,1
1958,3,19,,15,252420,Solarflare Prism,B,1
1953,3,19,,1349,260235,Umbral Plume,A,1
1966,3,19,,5581,250257,Eye of the Drowning Void,C,1
1972,3,19,,31208,246304,Darkmoon Dominion: Hunt,D,1
1967,3,19,,17009,251787,Sealed Chaos Urn,C,2
1973,3,19,,31226,246306,Darkmoon Dominion: Rot,D,2
1959,3,19,,5733,250227,Kroluk's Warbanner,B,2
1954,3,19,,59,193701,Algeth'ar Puzzle Box,A,2
1955,3,19,,149,250144,Emberwing Feather,A,3
1968,3,19,,18400,251783,Lost Idol of the Hash'ey,C,3
1974,3,19,,31233,246307,Darkmoon Dominion: Void,D,3
1960,3,19,,16759,251782,Withered Saptor's Paw,B,3
1969,3,19,,16570,251785,Void-Reaper's Libram,C,4
1956,3,19,,5877,249345,Ranger-Captain's Iridescent Insignia,A,4
1961,3,19,,31234,241340,Magister's Alchemist Stone,B,4
1962,3,19,,5789,249805,Undreamt God's Oozing Vestige,B,5
1970,3,19,,19853,252957,Tangle of Vibrant Vines,C,5
1963,3,19,,5727,250226,Latch's Crooked Hook,B,6
1964,3,19,,2017,151307,Void Stalker's Contract,B,7
1571,3,20,,59,193701,Algeth'ar Puzzle Box,S,0
1582,3,20,,5789,249805,Undreamt God's Oozing Vestige,C,0
1576,3,20,,30,249344,Light Company Guidon,B,0
1574,3,20,,29,249343,Gaze of the Alnseer,A,0
1590,3,20,,5658,250241,Mark of Light,D,0
1577,3,20,,15,252420,Solarflare Prism,B,1
1572,3,20,,485,249806,Radiant Plume,S,1
1583,3,20,,1335,250258,Vessel of Tortured Souls,C,1
1591,3,20,,2017,151307,Void Stalker's Contract,D,1
1575,3,20,,2570,249342,Heart of Ancient Hunger,A,1
1592,3,20,,5750,250462,Forgotten Farstrider's Insignia,D,2
1578,3,20,,14,250256,Heart of Wind,B,2
1584,3,20,,5727,250226,Latch's Crooked Hook,C,2
1573,3,20,,1349,260235,Umbral Plume,S,2
1579,3,20,,5733,250227,Kroluk's Warbanner,B,3
1593,3,20,,18400,251783,Lost Idol of the Hash'ey,D,3
1585,3,20,,14807,193719,Dragon Games Equipment,C,3
1580,3,20,,31224,246305,Darkmoon Dominion: Blood,B,4
1586,3,20,,31226,246306,Darkmoon Dominion: Rot,C,4
1587,3,20,,31233,246307,Darkmoon Dominion: Void,C,5
1581,3,20,,31208,246304,Darkmoon Dominion: Hunt,B,5
1588,3,20,,31234,241340,Magister's Alchemist Stone,C,6
1589,3,20,,38879,255613,"",C,7
1381,3,21,,485,249806,Radiant Plume,S,0
1389,3,21,,5727,250226,Latch's Crooked Hook,B,0
1399,3,21,,31233,246307,Darkmoon Dominion: Void,D,0
1397,3,21,,1335,250258,Vessel of Tortured Souls,C,0
1384,3,21,,149,250144,Emberwing Feather,A,0
1390,3,21,,5733,250227,Kroluk's Warbanner,B,1
1382,3,21,,29,249343,Gaze of the Alnseer,S,1
1400,3,21,,31234,241340,Magister's Alchemist Stone,D,1
1385,3,21,,14,250256,Heart of Wind,A,1
1398,3,21,,31224,246305,Darkmoon Dominion: Blood,C,1
1401,3,21,,18400,251783,Lost Idol of the Hash'ey,D,2
1386,3,21,,5789,249805,Undreamt God's Oozing Vestige,A,2
1383,3,21,,59,193701,Algeth'ar Puzzle Box,S,2
1391,3,21,,5581,250257,Eye of the Drowning Void,B,2
1392,3,21,,31208,246304,Darkmoon Dominion: Hunt,B,3
1387,3,21,,30,249344,Light Company Guidon,A,3
1393,3,21,,31226,246306,Darkmoon Dominion: Rot,B,4
1388,3,21,,15,252420,Solarflare Prism,A,4
1394,3,21,,5750,250462,Forgotten Farstrider's Insignia,B,5
1395,3,21,,5877,249345,Ranger-Captain's Iridescent Insignia,B,6
1396,3,21,,2017,151307,Void Stalker's Contract,B,7
925,3,22,,29,249343,Gaze of the Alnseer,A,0
922,3,22,,59,193701,Algeth'ar Puzzle Box,S,0
931,3,22,,1335,250258,Vessel of Tortured Souls,B,0
937,3,22,,30,249344,Light Company Guidon,C,0
940,3,22,,5727,250226,Latch's Crooked Hook,D,0
923,3,22,,485,249806,Radiant Plume,S,1
941,3,22,,5581,250257,Eye of the Drowning Void,D,1
938,3,22,,17046,251784,Sylvan Wakrapuku,C,1
932,3,22,,5733,250227,Kroluk's Warbanner,B,1
926,3,22,,17009,251787,Sealed Chaos Urn,A,1
939,3,22,,18400,251783,Lost Idol of the Hash'ey,C,2
933,3,22,,15,252420,Solarflare Prism,B,2
