id,source_id,spec_id,hero_talent_id,slot,item_id,priority
5610,7,25,,trinket_1,29,1
5611,7,25,,trinket_2,30,1
5612,3,25,,main_hand,61,1
5613,3,25,,head,2,1
5614,3,25,,neck,48,1
5615,3,25,,shoulder,49,1
5616,3,25,,back,50,1
5617,3,25,,chest,6,1
5618,3,25,,wrist,7,1
5619,3,25,,hands,53,1
5620,3,25,,waist,54,1
5621,3,25,,legs,10,1
5622,3,25,,feet,11,1
5623,3,25,,ring_1,57,1
5624,3,25,,ring_2,58,1
5625,3,25,,trinket_1,30,1
5626,3,25,,trinket_2,29,1
5627,8,26,,main_hand,46,1
5628,8,26,,head,2,1
5629,8,26,,neck,48,1
5630,8,26,,shoulder,49,1
5631,8,26,,back,50,1
5632,8,26,,chest,6,1
5633,8,26,,wrist,7,1
5634,8,26,,hands,53,1
5635,8,26,,waist,99,1
5636,8,26,,legs,10,1
5637,8,26,,feet,11,1
5638,8,26,,ring_1,57,1
5639,8,26,,ring_2,58,1
5640,8,26,,trinket_1,59,1
5641,8,26,,trinket_2,30,1
5642,7,26,,main_hand,61,1
5643,7,26,,head,2,1
5644,7,26,,neck,48,1
5645,7,26,,shoulder,49,1
5646,7,26,,back,50,1
5647,7,26,,chest,6,1
5648,7,26,,wrist,7,1
5649,7,26,,hands,53,1
5650,7,26,,waist,99,1
5651,7,26,,legs,10,1
5652,7,26,,feet,11,1
5653,7,26,,ring_1,57,1
5654,7,26,,ring_2,58,1
5655,7,26,,trinket_1,29,1
5656,7,26,,trinket_2,30,1
5657,3,26,,main_hand,61,1
5658,3,26,,head,2,1
5659,3,26,,neck,48,1
5660,3,26,,shoulder,49,1
5661,3,26,,back,50,1
5662,3,26,,chest,6,1
5663,3,26,,wrist,7,1
5664,3,26,,hands,53,1
5665,3,26,,waist,99,1
5666,3,26,,legs,10,1
5667,3,26,,feet,11,1
5668,3,26,,ring_1,57,1
5669,3,26,,ring_2,58,1
5670,3,26,,trinket_1,29,1
5671,3,26,,trinket_2,30,1
5672,8,41,,main_hand,136,1
5673,8,41,,head,137,1
5674,8,41,,neck,3,1
5675,8,41,,shoulder,139,1
5676,8,41,,back,140,1
5677,8,41,,chest,141,1
5678,8,41,,wrist,142,1
5679,8,41,,hands,143,1
5680,8,41,,waist,144,1
5681,8,41,,legs,145,1
5682,8,41,,feet,146,1
5683,8,41,,ring_1,147,1
5684,8,41,,ring_2,27,1
5685,8,41,,trinket_1,149,1
5686,8,41,,trinket_2,14,1
5687,3,41,,main_hand,136,1
5688,3,41,,head,137,1
5689,3,41,,neck,3,1
5690,3,41,,shoulder,139,1
5691,3,41,,back,140,1
5692,3,41,,chest,141,1
5693,3,41,,wrist,142,1
5694,3,41,,hands,143,1
5695,3,41,,waist,144,1
5696,3,41,,legs,145,1
5697,3,41,,feet,146,1
5698,3,41,,ring_1,147,1
5699,3,41,,ring_2,27,1
5700,3,41,,trinket_1,29,1
5701,3,41,,trinket_2,165,1
5702,7,41,,main_hand,136,1
5703,7,41,,head,137,1
5704,7,41,,neck,3,1
5705,7,41,,shoulder,139,1
5706,7,41,,back,140,1
5707,7,41,,chest,141,1
5708,7,41,,wrist,142,1
5709,7,41,,hands,143,1
5710,7,41,,waist,144,1
5711,7,41,,legs,145,1
5712,7,41,,feet,146,1
5713,7,41,,ring_1,147,1
5714,7,41,,ring_2,27,1
5715,7,41,,trinket_1,29,1
5716,7,41,,trinket_2,165,1
5717,8,24,,trinket_1,59,1
5718,8,24,,main_hand,136,1
5719,8,24,,head,183,1
5720,8,24,,neck,48,1
5721,8,24,,shoulder,139,1
5722,8,24,,back,50,1
5723,8,24,,chest,141,1
5724,8,24,,wrist,188,1
5725,8,24,,hands,143,1
5726,8,24,,waist,190,1
5727,8,24,,legs,191,1
5728,8,24,,feet,192,1
5729,8,24,,ring_1,58,1
5730,8,24,,ring_2,57,1
5731,8,24,,trinket_2,29,1
5732,7,24,,trinket_1,29,1
5733,7,24,,main_hand,136,1
5734,7,24,,head,183,1
5735,7,24,,neck,48,1
5736,7,24,,shoulder,139,1
5737,7,24,,back,50,1
5738,7,24,,chest,141,1
5739,7,24,,wrist,188,1
5740,7,24,,hands,143,1
5741,7,24,,waist,190,1
5742,7,24,,legs,191,1
5743,7,24,,feet,192,1
5744,7,24,,ring_1,58,1
5745,7,24,,ring_2,57,1
5746,7,24,,trinket_2,29,1
5747,3,24,,trinket_1,59,1
5748,3,24,,main_hand,136,1
5749,3,24,,head,183,1
5750,3,24,,neck,48,1
5751,3,24,,shoulder,139,1
5752,3,24,,back,50,1
5753,3,24,,chest,141,1
5754,3,24,,wrist,188,1
5755,3,24,,hands,143,1
5756,3,24,,waist,190,1
5757,3,24,,legs,191,1
5758,3,24,,feet,192,1
5759,3,24,,ring_1,58,1
5760,3,24,,ring_2,57,1
5761,3,24,,trinket_2,29,1
5762,8,5,,main_hand,226,1
5763,8,5,,head,137,1
5764,8,5,,neck,228,1
5765,8,5,,shoulder,139,1
5766,8,5,,back,50,1
5767,8,5,,chest,231,1
5768,8,5,,wrist,232,1
5769,8,5,,hands,143,1
5770,8,5,,waist,234,1
5771,8,5,,legs,191,1
5772,8,5,,feet,236,1
5773,8,5,,ring_1,13,1
5774,8,5,,ring_2,12,1
5775,8,5,,trinket_1,15,1
5776,8,5,,trinket_2,30,1
5777,7,5,,main_hand,136,1
5778,7,5,,head,137,1
5779,7,5,,neck,228,1
5780,7,5,,shoulder,139,1
5781,7,5,,back,50,1
5782,7,5,,chest,231,1
5783,7,5,,wrist,232,1
5784,7,5,,hands,143,1
5785,7,5,,waist,234,1
5786,7,5,,legs,191,1
5787,7,5,,feet,236,1
5788,7,5,,ring_1,27,1
5789,7,5,,ring_2,12,1
5790,7,5,,trinket_1,29,1
5791,7,5,,trinket_2,30,1
5792,3,5,,main_hand,136,1
5793,3,5,,head,137,1
5794,3,5,,neck,228,1
5795,3,5,,shoulder,139,1
5796,3,5,,back,50,1
5797,3,5,,chest,231,1
5798,3,5,,wrist,232,1
5799,3,5,,hands,143,1
5800,3,5,,waist,234,1
5801,3,5,,legs,191,1
5802,3,5,,feet,236,1
5803,3,5,,ring_1,13,1
5804,3,5,,ring_2,12,1
5805,3,5,,trinket_1,29,1
5806,3,5,,trinket_2,30,1
5807,1,5,10,waist,287,1
5808,1,5,10,back,50,1
5809,1,5,10,chest,141,1
5810,1,5,10,feet,236,1
5811,1,5,10,hands,143,1
5812,1,5,10,head,137,1
5813,1,5,10,legs,191,1
5814,1,5,10,neck,294,1
5815,1,5,10,ring_1,28,1
5816,1,5,10,ring_2,12,1
5817,1,5,10,shoulder,139,1
5818,1,5,10,trinket_1,15,1
5819,1,5,10,trinket_2,299,1
5820,1,5,10,main_hand,284,1
5821,1,5,10,off_hand,301,1
5822,1,5,10,wrist,232,1
5823,1,5,9,waist,287,1
5824,1,5,9,back,50,1
5825,1,5,9,chest,141,1
5826,1,5,9,feet,236,1
5827,1,5,9,hands,143,1
5828,1,5,9,head,137,1
5829,1,5,9,legs,191,1
5830,1,5,9,neck,294,1
5831,1,5,9,ring_1,28,1
5832,1,5,9,ring_2,12,1
5833,1,5,9,shoulder,139,1
5834,1,5,9,trinket_1,15,1
5835,1,5,9,trinket_2,299,1
5836,1,5,9,main_hand,284,1
5837,1,5,9,off_hand,301,1
5838,1,5,9,wrist,232,1
5839,8,39,,main_hand,319,1
5840,8,39,,off_hand,320,1
5841,8,39,,head,321,1
5842,8,39,,neck,48,1
5843,8,39,,shoulder,323,1
5844,8,39,,back,140,1
5845,8,39,,chest,325,1
5846,8,39,,wrist,188,1
5847,8,39,,hands,327,1
5848,8,39,,waist,190,1
5849,8,39,,legs,329,1
5850,8,39,,feet,330,1
5851,8,39,,ring_1,13,1
5852,8,39,,ring_2,12,1
5853,8,39,,trinket_1,333,1
5854,8,39,,trinket_2,334,1
5855,7,39,,main_hand,335,1
5856,7,39,,off_hand,320,1
5857,7,39,,head,321,1
5858,7,39,,neck,48,1
5859,7,39,,shoulder,323,1
5860,7,39,,back,140,1
5861,7,39,,chest,325,1
5862,7,39,,wrist,188,1
5863,7,39,,hands,327,1
5864,7,39,,waist,190,1
5865,7,39,,legs,329,1
5866,7,39,,feet,330,1
5867,7,39,,ring_1,57,1
5868,7,39,,ring_2,12,1
5869,7,39,,trinket_1,165,1
5870,7,39,,trinket_2,29,1
5871,3,39,,main_hand,335,1
5872,3,39,,off_hand,320,1
5873,3,39,,head,321,1
5874,3,39,,neck,48,1
5875,3,39,,shoulder,323,1
5876,3,39,,back,140,1
5877,3,39,,chest,325,1
5878,3,39,,wrist,188,1
5879,3,39,,hands,327,1
5880,3,39,,waist,190,1
5881,3,39,,legs,329,1
5882,3,39,,feet,330,1
5883,3,39,,ring_1,57,1
5884,3,39,,ring_2,12,1
5885,3,39,,trinket_1,165,1
5886,3,39,,trinket_2,334,1
5887,6,39,77,waist,367,1
5888,6,39,77,back,368,1
5889,6,39,77,chest,325,1
5890,6,39,77,feet,370,1
5891,6,39,77,hands,371,1
5892,6,39,77,head,321,1
5893,6,39,77,legs,329,1
5894,6,39,77,neck,278,1
5895,6,39,77,ring_1,13,1
5896,6,39,77,ring_2,12,1
5897,6,39,77,shoulder,323,1
5898,6,39,77,trinket_1,165,1
5899,6,39,77,trinket_2,299,1
5900,6,39,77,main_hand,380,1
5901,6,39,77,wrist,188,1
5902,6,39,78,waist,367,1
5903,6,39,78,back,368,1
5904,6,39,78,chest,325,1
5905,6,39,78,feet,370,1
5906,6,39,78,hands,371,1
5907,6,39,78,head,321,1
5908,6,39,78,legs,329,1
5909,6,39,78,neck,278,1
5910,6,39,78,ring_1,13,1
5911,6,39,78,ring_2,12,1
5912,6,39,78,shoulder,323,1
5913,6,39,78,trinket_1,165,1
5914,6,39,78,trinket_2,299,1
5915,6,39,78,main_hand,380,1
5916,6,39,78,wrist,188,1
5917,2,39,77,waist,190,1
5918,2,39,77,back,398,1
5919,2,39,77,chest,325,1
5920,2,39,77,feet,192,1
5921,2,39,77,hands,371,1
5922,2,39,77,head,321,1
5923,2,39,77,legs,329,1
5924,2,39,77,neck,278,1
5925,2,39,77,ring_1,13,1
5926,2,39,77,ring_2,13,1
5927,2,39,77,shoulder,323,1
5928,2,39,77,trinket_1,165,1
5929,2,39,77,trinket_2,299,1
5930,2,39,77,main_hand,380,1
5931,2,39,77,wrist,142,1
5932,2,39,78,waist,190,1
5933,2,39,78,back,398,1
5934,2,39,78,chest,325,1
5935,2,39,78,feet,192,1
5936,2,39,78,hands,371,1
5937,2,39,78,head,321,1
5938,2,39,78,legs,329,1
5939,2,39,78,neck,278,1
5940,2,39,78,ring_1,13,1
5941,2,39,78,ring_2,13,1
5942,2,39,78,shoulder,323,1
5943,2,39,78,trinket_1,165,1
5944,2,39,78,trinket_2,299,1
5945,2,39,78,main_hand,380,1
5946,2,39,78,wrist,142,1
5947,1,39,77,waist,367,1
5948,1,39,77,back,368,1
5949,1,39,77,chest,325,1
5950,1,39,77,feet,370,1
5951,1,39,77,hands,371,1
5952,1,39,77,head,321,1
5953,1,39,77,legs,329,1
5954,1,39,77,neck,278,1
5955,1,39,77,ring_1,13,1
5956,1,39,77,ring_2,12,1
5957,1,39,77,shoulder,323,1
5958,1,39,77,trinket_1,165,1
5959,1,39,77,trinket_2,299,1
5960,1,39,77,main_hand,380,1
5961,1,39,77,wrist,188,1
5962,1,39,78,waist,367,1
5963,1,39,78,back,368,1
5964,1,39,78,chest,325,1
5965,1,39,78,feet,370,1
5966,1,39,78,hands,371,1
5967,1,39,78,head,321,1
5968,1,39,78,legs,329,1
5969,1,39,78,neck,278,1
5970,1,39,78,ring_1,13,1
5971,1,39,78,ring_2,12,1
5972,1,39,78,shoulder,323,1
5973,1,39,78,trinket_1,165,1
5974,1,39,78,trinket_2,299,1
5975,1,39,78,main_hand,380,1
5976,1,39,78,wrist,188,1
5977,8,23,,main_hand,457,1
5978,8,23,,head,321,1
5979,8,23,,neck,48,1
5980,8,23,,shoulder,323,1
5981,8,23,,back,140,1
5982,8,23,,chest,325,1
5983,8,23,,wrist,188,1
5984,8,23,,hands,464,1
5985,8,23,,waist,190,1
5986,8,23,,legs,329,1
5987,8,23,,feet,330,1
5988,8,23,,ring_1,27,1
5989,8,23,,ring_2,469,1
5990,8,23,,trinket_1,59,1
5991,8,23,,trinket_2,14,1
5992,7,23,,main_hand,472,1
5993,7,23,,head,321,1
5994,7,23,,neck,48,1
5995,7,23,,shoulder,323,1
5996,7,23,,back,140,1
5997,7,23,,chest,325,1
5998,7,23,,wrist,188,1
5999,7,23,,hands,464,1
6000,7,23,,waist,190,1
6001,7,23,,legs,329,1
6002,7,23,,feet,330,1
6003,7,23,,ring_1,27,1
6004,7,23,,ring_2,469,1
6005,7,23,,trinket_1,485,1
6006,7,23,,trinket_2,485,1
6007,3,23,,main_hand,472,1
6008,3,23,,head,321,1
6009,3,23,,neck,48,1
6010,3,23,,shoulder,323,1
6011,3,23,,back,140,1
6012,3,23,,chest,325,1
6013,3,23,,wrist,188,1
6014,3,23,,hands,464,1
6015,3,23,,waist,190,1
6016,3,23,,legs,329,1
6017,3,23,,feet,330,1
6018,3,23,,ring_1,27,1
6019,3,23,,ring_2,469,1
6020,3,23,,trinket_1,59,1
6021,3,23,,trinket_2,485,1
6022,6,23,45,waist,367,1
6023,6,23,45,back,398,1
6024,6,23,45,chest,325,1
6025,6,23,45,feet,370,1
6026,6,23,45,hands,371,1
6027,6,23,45,head,321,1
6028,6,23,45,legs,329,1
6029,6,23,45,neck,294,1
6030,6,23,45,ring_1,13,1
6031,6,23,45,ring_2,13,1
6032,6,23,45,shoulder,323,1
6033,6,23,45,trinket_1,59,1
6034,6,23,45,trinket_2,59,1
6035,6,23,45,main_hand,515,1
6036,6,23,45,wrist,188,1
6037,6,23,46,waist,367,1
6038,6,23,46,back,398,1
6039,6,23,46,chest,325,1
6040,6,23,46,feet,370,1
6041,6,23,46,hands,371,1
6042,6,23,46,head,321,1
6043,6,23,46,legs,329,1
6044,6,23,46,neck,294,1
6045,6,23,46,ring_1,13,1
6046,6,23,46,ring_2,13,1
6047,6,23,46,shoulder,323,1
6048,6,23,46,trinket_1,59,1
6049,6,23,46,trinket_2,59,1
6050,6,23,46,main_hand,515,1
6051,6,23,46,wrist,188,1
6052,2,23,45,waist,190,1
6053,2,23,45,back,398,1
6054,2,23,45,chest,325,1
6055,2,23,45,feet,192,1
6056,2,23,45,hands,371,1
6057,2,23,45,head,321,1
6058,2,23,45,legs,329,1
6059,2,23,45,neck,278,1
6060,2,23,45,ring_1,12,1
6061,2,23,45,ring_2,13,1
6062,2,23,45,shoulder,323,1
6063,2,23,45,trinket_1,59,1
6064,2,23,45,trinket_2,59,1
6065,2,23,45,main_hand,515,1
6066,2,23,45,wrist,188,1
6067,2,23,46,waist,190,1
6068,2,23,46,back,398,1
6069,2,23,46,chest,325,1
6070,2,23,46,feet,192,1
6071,2,23,46,hands,371,1
6072,2,23,46,head,321,1
6073,2,23,46,legs,329,1
6074,2,23,46,neck,278,1
6075,2,23,46,ring_1,12,1
6076,2,23,46,ring_2,13,1
6077,2,23,46,shoulder,323,1
6078,2,23,46,trinket_1,59,1
6079,2,23,46,trinket_2,59,1
6080,2,23,46,main_hand,515,1
6081,2,23,46,wrist,188,1
6082,1,23,45,waist,367,1
6083,1,23,45,back,398,1
6084,1,23,45,chest,325,1
6085,1,23,45,feet,370,1
6086,1,23,45,hands,371,1
6087,1,23,45,head,321,1
6088,1,23,45,legs,329,1
6089,1,23,45,neck,294,1
6090,1,23,45,ring_1,13,1
6091,1,23,45,ring_2,13,1
6092,1,23,45,shoulder,323,1
6093,1,23,45,trinket_1,59,1
6094,1,23,45,trinket_2,59,1
6095,1,23,45,main_hand,515,1
6096,1,23,45,wrist,188,1
6097,1,23,46,waist,367,1
6098,1,23,46,back,398,1
6099,1,23,46,chest,325,1
6100,1,23,46,feet,370,1
6101,1,23,46,hands,371,1
6102,1,23,46,head,321,1
6103,1,23,46,legs,329,1
6104,1,23,46,neck,294,1
6105,1,23,46,ring_1,13,1
6106,1,23,46,ring_2,13,1
6107,1,23,46,shoulder,323,1
6108,1,23,46,trinket_1,59,1
6109,1,23,46,trinket_2,59,1
6110,1,23,46,main_hand,515,1
6111,1,23,46,wrist,188,1
6112,8,4,,main_hand,592,1
6113,8,4,,head,593,1
6114,8,4,,neck,3,1
6115,8,4,,shoulder,323,1
6116,8,4,,back,140,1
6117,8,4,,chest,325,1
6118,8,4,,wrist,598,1
6119,8,4,,hands,371,1
6120,8,4,,waist,287,1
6121,8,4,,legs,329,1
6122,8,4,,feet,602,1
6123,8,4,,ring_1,13,1
6124,8,4,,ring_2,12,1
6125,8,4,,trinket_1,59,1
6126,8,4,,trinket_2,14,1
6127,7,4,,main_hand,592,1
6128,7,4,,head,593,1
6129,7,4,,neck,3,1
6130,7,4,,shoulder,323,1
6131,7,4,,back,140,1
6132,7,4,,chest,325,1
6133,7,4,,wrist,598,1
6134,7,4,,hands,371,1
6135,7,4,,waist,287,1
6136,7,4,,legs,329,1
6137,7,4,,feet,602,1
6138,7,4,,ring_1,27,1
6139,7,4,,ring_2,27,1
6140,7,4,,trinket_1,29,1
6141,7,4,,trinket_2,59,1
6142,3,4,,main_hand,592,1
6143,3,4,,head,593,1
6144,3,4,,neck,3,1
6145,3,4,,shoulder,323,1
6146,3,4,,back,140,1
6147,3,4,,chest,325,1
6148,3,4,,wrist,598,1
6149,3,4,,hands,371,1
6150,3,4,,waist,287,1
6151,3,4,,legs,329,1
6152,3,4,,feet,602,1
6153,3,4,,ring_1,13,1
6154,3,4,,ring_2,27,1
6155,3,4,,trinket_1,29,1
6156,3,4,,trinket_2,59,1
6157,6,4,7,waist,637,1
6158,6,4,7,back,638,1
6159,6,4,7,chest,325,1
6160,6,4,7,feet,602,1
6161,6,4,7,hands,371,1
6162,6,4,7,head,321,1
6163,6,4,7,legs,329,1
6164,6,4,7,neck,644,1
6165,6,4,7,ring_1,13,1
6166,6,4,7,ring_2,12,1
6167,6,4,7,shoulder,323,1
6168,6,4,7,trinket_1,59,1
6169,6,4,7,trinket_2,299,1
6170,6,4,7,main_hand,515,1
6171,6,4,7,wrist,188,1
6172,6,4,8,waist,637,1
6173,6,4,8,back,638,1
6174,6,4,8,chest,325,1
6175,6,4,8,feet,602,1
6176,6,4,8,hands,371,1
6177,6,4,8,head,321,1
6178,6,4,8,legs,329,1
6179,6,4,8,neck,644,1
6180,6,4,8,ring_1,13,1
6181,6,4,8,ring_2,12,1
6182,6,4,8,shoulder,323,1
6183,6,4,8,trinket_1,59,1
6184,6,4,8,trinket_2,299,1
6185,6,4,8,main_hand,515,1
6186,6,4,8,wrist,188,1
6187,2,4,7,waist,637,1
6188,2,4,7,back,638,1
6189,2,4,7,chest,325,1
6190,2,4,7,feet,236,1
6191,2,4,7,hands,371,1
6192,2,4,7,head,321,1
6193,2,4,7,legs,329,1
6194,2,4,7,neck,228,1
6195,2,4,7,ring_1,13,1
6196,2,4,7,ring_2,676,1
6197,2,4,7,shoulder,323,1
6198,2,4,7,trinket_1,14,1
6199,2,4,7,trinket_2,14,1
6200,2,4,7,main_hand,515,1
6201,2,4,7,wrist,681,1
6202,2,4,8,waist,637,1
6203,2,4,8,back,638,1
6204,2,4,8,chest,325,1
6205,2,4,8,feet,236,1
6206,2,4,8,hands,371,1
6207,2,4,8,head,321,1
6208,2,4,8,legs,329,1
6209,2,4,8,neck,228,1
6210,2,4,8,ring_1,13,1
6211,2,4,8,ring_2,676,1
6212,2,4,8,shoulder,323,1
6213,2,4,8,trinket_1,14,1
6214,2,4,8,trinket_2,14,1
6215,2,4,8,main_hand,515,1
6216,2,4,8,wrist,681,1
6217,1,4,7,waist,637,1
6218,1,4,7,back,638,1
6219,1,4,7,chest,325,1
6220,1,4,7,feet,602,1
6221,1,4,7,hands,371,1
6222,1,4,7,head,321,1
6223,1,4,7,legs,329,1
6224,1,4,7,neck,644,1
6225,1,4,7,ring_1,13,1
6226,1,4,7,ring_2,12,1
6227,1,4,7,shoulder,323,1
6228,1,4,7,trinket_1,59,1
6229,1,4,7,trinket_2,299,1
6230,1,4,7,main_hand,515,1
6231,1,4,7,wrist,188,1
6232,1,4,8,waist,637,1
6233,1,4,8,back,638,1
6234,1,4,8,chest,325,1
6235,1,4,8,feet,602,1
6236,1,4,8,hands,371,1
6237,1,4,8,head,321,1
6238,1,4,8,legs,329,1
6239,1,4,8,neck,644,1
6240,1,4,8,ring_1,13,1
6241,1,4,8,ring_2,12,1
6242,1,4,8,shoulder,323,1
6243,1,4,8,trinket_1,59,1
6244,1,4,8,trinket_2,299,1
6245,1,4,8,main_hand,515,1
6246,1,4,8,wrist,188,1
6247,8,13,,ring_1,469,1
6248,8,13,,head,321,1
6249,8,13,,neck,48,1
6250,8,13,,shoulder,323,1
6251,8,13,,back,140,1
6252,8,13,,chest,732,1
6253,8,13,,wrist,142,1
6254,8,13,,hands,371,1
6255,8,13,,waist,735,1
6256,8,13,,legs,329,1
6257,8,13,,feet,236,1
6258,8,13,,ring_2,13,1
6259,8,13,,trinket_1,334,1
6260,8,13,,trinket_2,165,1
6261,8,13,,main_hand,319,1
6262,8,13,,off_hand,742,1
6263,7,13,,ring_1,27,1
6264,7,13,,head,593,1
6265,7,13,,neck,48,1
6266,7,13,,shoulder,323,1
6267,7,13,,back,140,1
6268,7,13,,chest,732,1
6269,7,13,,wrist,142,1
6270,7,13,,hands,371,1
6271,7,13,,waist,735,1
6272,7,13,,legs,329,1
6273,7,13,,feet,236,1
6274,7,13,,ring_2,469,1
6275,7,13,,trinket_1,165,1
6276,7,13,,trinket_2,334,1
6277,7,13,,main_hand,335,1
6278,7,13,,off_hand,742,1
6279,3,13,,ring_1,27,1
6280,3,13,,head,321,1
6281,3,13,,neck,48,1
6282,3,13,,shoulder,323,1
6283,3,13,,back,140,1
6284,3,13,,chest,732,1
6285,3,13,,wrist,142,1
6286,3,13,,hands,371,1
6287,3,13,,waist,735,1
6288,3,13,,legs,329,1
6289,3,13,,feet,236,1
6290,3,13,,ring_2,469,1
6291,3,13,,trinket_1,334,1
6292,3,13,,trinket_2,165,1
6293,3,13,,main_hand,335,1
6294,3,13,,off_hand,742,1
6295,6,13,25,waist,637,1
6296,6,13,25,back,368,1
6297,6,13,25,chest,325,1
6298,6,13,25,feet,236,1
6299,6,13,25,hands,371,1
6300,6,13,25,head,321,1
6301,6,13,25,legs,329,1
6302,6,13,25,neck,294,1
6303,6,13,25,ring_1,13,1
6304,6,13,25,ring_2,13,1
6305,6,13,25,shoulder,323,1
6306,6,13,25,trinket_1,14,1
6307,6,13,25,trinket_2,14,1
6308,6,13,25,main_hand,380,1
6309,6,13,25,wrist,142,1
6310,6,13,26,waist,637,1
6311,6,13,26,back,368,1
6312,6,13,26,chest,325,1
6313,6,13,26,feet,236,1
6314,6,13,26,hands,371,1
6315,6,13,26,head,321,1
6316,6,13,26,legs,329,1
6317,6,13,26,neck,294,1
6318,6,13,26,ring_1,13,1
6319,6,13,26,ring_2,13,1
6320,6,13,26,shoulder,323,1
6321,6,13,26,trinket_1,14,1
6322,6,13,26,trinket_2,14,1
6323,6,13,26,main_hand,380,1
6324,6,13,26,wrist,142,1
6325,2,13,25,waist,637,1
6326,2,13,25,back,638,1
6327,2,13,25,chest,732,1
6328,2,13,25,feet,236,1
6329,2,13,25,hands,371,1
6330,2,13,25,head,321,1
6331,2,13,25,legs,329,1
6332,2,13,25,neck,644,1
6333,2,13,25,ring_1,13,1
6334,2,13,25,ring_2,13,1
6335,2,13,25,shoulder,323,1
6336,2,13,25,trinket_1,14,1
6337,2,13,25,trinket_2,14,1
6338,2,13,25,main_hand,380,1
6339,2,13,25,wrist,142,1
6340,2,13,26,waist,637,1
6341,2,13,26,back,638,1
6342,2,13,26,chest,732,1
6343,2,13,26,feet,236,1
6344,2,13,26,hands,371,1
6345,2,13,26,head,321,1
6346,2,13,26,legs,329,1
6347,2,13,26,neck,644,1
6348,2,13,26,ring_1,13,1
6349,2,13,26,ring_2,13,1
6350,2,13,26,shoulder,323,1
6351,2,13,26,trinket_1,14,1
6352,2,13,26,trinket_2,14,1
6353,2,13,26,main_hand,380,1
6354,2,13,26,wrist,142,1
6355,1,13,25,waist,637,1
6356,1,13,25,back,368,1
6357,1,13,25,chest,325,1
6358,1,13,25,feet,236,1
6359,1,13,25,hands,371,1
6360,1,13,25,head,321,1
6361,1,13,25,legs,329,1
6362,1,13,25,neck,294,1
6363,1,13,25,ring_1,13,1
6364,1,13,25,ring_2,13,1
6365,1,13,25,shoulder,323,1
6366,1,13,25,trinket_1,14,1
6367,1,13,25,trinket_2,14,1
6368,1,13,25,main_hand,380,1
6369,1,13,25,wrist,142,1
6370,1,13,26,waist,637,1
6371,1,13,26,back,368,1
6372,1,13,26,chest,325,1
6373,1,13,26,feet,236,1
6374,1,13,26,hands,371,1
6375,1,13,26,head,321,1
6376,1,13,26,legs,329,1
6377,1,13,26,neck,294,1
6378,1,13,26,ring_1,13,1
6379,1,13,26,ring_2,13,1
6380,1,13,26,shoulder,323,1
6381,1,13,26,trinket_1,14,1
6382,1,13,26,trinket_2,14,1
6383,1,13,26,main_hand,380,1
6384,1,13,26,wrist,142,1
6385,8,38,,main_hand,850,1
6386,8,38,,off_hand,851,1
6387,8,38,,head,852,1
6388,8,38,,neck,853,1
6389,8,38,,shoulder,854,1
