id,item_id,blizzard_item_id,item_name,instance_type,encounter_name,instance_name,blizzard_instance_id,blizzard_encounter_id,is_suspected_junk
23,5559,251214,Bonds of the Hash'ura,dungeon,Nalorakk,Den of Nalorakk,1311,2778,f
25,5561,264332,Amani Ritual Altar,dungeon,Nalorakk,Den of Nalorakk,1311,2778,f
26,5562,250246,Refueling Orb,dungeon,Arcanotron Custos,Magisters' Terrace,1300,2659,f
27,1778,251102,Clasp of Compliance,dungeon,Arcanotron Custos,Magisters' Terrace,1300,2659,f
28,681,251103,Custodial Cuffs,dungeon,Arcanotron Custos,Magisters' Terrace,1300,2659,f
29,5565,251104,Leggings of Orderly Conduct,dungeon,Arcanotron Custos,Magisters' Terrace,1300,2659,f
30,5566,251101,Arcane Guardian's Shell,dungeon,Arcanotron Custos,Magisters' Terrace,1300,2659,f
31,5567,251100,Malfeasance Mallet,dungeon,Arcanotron Custos,Magisters' Terrace,1300,2659,f
32,1657,251108,Wraps of Watchful Wrath,dungeon,Seranel Sunlash,Magisters' Terrace,1300,2661,f
33,183,251109,Spellsnap Shadowmask,dungeon,Seranel Sunlash,Magisters' Terrace,1300,2661,f
34,5570,251110,Sunlash's Sunsash,dungeon,Seranel Sunlash,Magisters' Terrace,1300,2661,f
35,2777,251107,Oathsworn Stompers,dungeon,Seranel Sunlash,Magisters' Terrace,1300,2661,f
36,3492,251105,Ward of the Spellbreaker,dungeon,Seranel Sunlash,Magisters' Terrace,1300,2661,f
37,5573,251106,Resolute Runeglaive,dungeon,Seranel Sunlash,Magisters' Terrace,1300,2661,f
38,5,260312,Defiant Defender's Drape,dungeon,Seranel Sunlash,Magisters' Terrace,1300,2661,f
39,5575,250242,Jelly Replicator,dungeon,Gemellus,Magisters' Terrace,1300,2660,f
40,469,251115,Bifurcation Band,dungeon,Gemellus,Magisters' Terrace,1300,2660,f
41,327,251113,Gloves of Viscous Goo,dungeon,Gemellus,Magisters' Terrace,1300,2660,f
42,5578,251114,Voidwarped Oozemail,dungeon,Gemellus,Magisters' Terrace,1300,2660,f
43,4511,251112,Shadowsplit Girdle,dungeon,Gemellus,Magisters' Terrace,1300,2660,f
44,2818,251111,Splitshroud Stinger,dungeon,Gemellus,Magisters' Terrace,1300,2660,f
45,5581,250257,Eye of the Drowning Void,dungeon,Degentrius,Magisters' Terrace,1300,2662,f
46,5582,251120,Wraps of Umbral Descent,dungeon,Degentrius,Magisters' Terrace,1300,2662,f
47,5583,251121,Domanaar's Dire Treads,dungeon,Degentrius,Magisters' Terrace,1300,2662,f
48,5584,251119,Vortex Visage,dungeon,Degentrius,Magisters' Terrace,1300,2662,f
49,5585,251118,Legplates of Lingering Dusk,dungeon,Degentrius,Magisters' Terrace,1300,2662,f
50,4291,251117,Whirling Voidcleaver,dungeon,Degentrius,Magisters' Terrace,1300,2662,f
51,5587,251122,Shadowslash Slicer,dungeon,Degentrius,Magisters' Terrace,1300,2662,f
52,5588,256755,Formula: Enchant Chest - Mark of the Magister,dungeon,Degentrius,Magisters' Terrace,1300,2662,f
53,5589,256759,Formula: Enchant Weapon - Flames of the Sin'dorei,dungeon,Degentrius,Magisters' Terrace,1300,2662,f
54,5590,258033,Pattern: Arcanoweave Lining,dungeon,Degentrius,Magisters' Terrace,1300,2662,f
55,5591,263230,Magister's Bookshelf,dungeon,Degentrius,Magisters' Terrace,1300,2662,f
56,5592,260231,Lucent Hawkstrider,dungeon,Degentrius,Magisters' Terrace,1300,2662,f
57,2903,251167,Nightprey Stalkers,dungeon,Muro'jin and Nekraxx,Maisara Caverns,1315,2810,f
58,637,251166,Falconer's Cinch,dungeon,Muro'jin and Nekraxx,Maisara Caverns,1315,2810,f
59,2418,263193,Trollhunter's Bands,dungeon,Muro'jin and Nekraxx,Maisara Caverns,1315,2810,f
60,2288,251162,Traitor's Talon,dungeon,Muro'jin and Nekraxx,Maisara Caverns,1315,2810,f
61,5597,251176,Reanimator's Weight,dungeon,Muro'jin and Nekraxx,Maisara Caverns,1315,2810,f
62,1186,251174,Deceiver's Rotbow,dungeon,Muro'jin and Nekraxx,Maisara Caverns,1315,2810,f
63,333,250223,Soulcatcher's Charm,dungeon,Vordaza,Maisara Caverns,1315,2811,f
64,5600,251172,Vilehex Bonds,dungeon,Vordaza,Maisara Caverns,1315,2811,f
65,5601,251171,Enthralled Bonespines,dungeon,Vordaza,Maisara Caverns,1315,2811,f
66,5602,251170,Wickedweave Trousers,dungeon,Vordaza,Maisara Caverns,1315,2811,f
67,2494,251169,Footwraps of Ill-Fate,dungeon,Vordaza,Maisara Caverns,1315,2811,f
68,5202,251161,Shroud of the Soulhunter,dungeon,Vordaza,Maisara Caverns,1315,2811,f
69,850,251178,Ceremonial Hexblade,dungeon,Vordaza,Maisara Caverns,1315,2811,f
70,1335,250258,Vessel of Tortured Souls,dungeon,"Rak'tul, Vessel of Souls",Maisara Caverns,1315,2812,f
71,2004,251177,Fetid Vilecrown,dungeon,"Rak'tul, Vessel of Souls",Maisara Caverns,1315,2812,f
72,5608,251179,Decaying Cuirass,dungeon,"Rak'tul, Vessel of Souls",Maisara Caverns,1315,2812,f
73,5609,251175,Soulblight Cleaver,dungeon,"Rak'tul, Vessel of Souls",Maisara Caverns,1315,2812,f
74,5610,256625,Pattern: Hexwoven Strand,dungeon,"Rak'tul, Vessel of Souls",Maisara Caverns,1315,2812,f
75,5611,251164,Amalgamation's Harness,dungeon,"Rak'tul, Vessel of Souls",Maisara Caverns,1315,2812,f
76,5612,264717,Amani Warding Hex,dungeon,"Rak'tul, Vessel of Souls",Maisara Caverns,1315,2812,f
77,46,251168,Liferipper's Cutlass,dungeon,"Rak'tul, Vessel of Souls",Maisara Caverns,1315,2812,f
78,5614,251163,Berserker's Hexclaws,dungeon,"Rak'tul, Vessel of Souls",Maisara Caverns,1315,2812,f
79,5615,250243,Manaheart's Binding Flame,dungeon,Kystia Manaheart,Murder Row,1304,2679,f
80,5616,251127,Nibbling Armbands,dungeon,Kystia Manaheart,Murder Row,1304,2679,f
81,5617,251124,Gauntlets of Fevered Defense,dungeon,Kystia Manaheart,Murder Row,1304,2679,f
82,5618,251125,Felsoaked Soles,dungeon,Kystia Manaheart,Murder Row,1304,2679,f
83,5619,251126,Greathelm of Temptation,dungeon,Kystia Manaheart,Murder Row,1304,2679,f
84,5620,251123,Nibbles' Training Rod,dungeon,Kystia Manaheart,Murder Row,1304,2679,f
85,5621,250215,Freightrunner's Flask,dungeon,Zaen Bladesorrow,Murder Row,1304,2680,f
86,5622,251129,Counterfeit Clutches,dungeon,Zaen Bladesorrow,Murder Row,1304,2680,f
87,5623,251132,Speakeasy Shroud,dungeon,Zaen Bladesorrow,Murder Row,1304,2680,f
88,5624,251130,Breeches of Deft Deals,dungeon,Zaen Bladesorrow,Murder Row,1304,2680,f
89,5625,251131,Jangling Felpaulets,dungeon,Zaen Bladesorrow,Murder Row,1304,2680,f
90,5626,251133,Overseer's Vambraces,dungeon,Zaen Bladesorrow,Murder Row,1304,2680,f
91,5627,251128,Bladesorrow,dungeon,Zaen Bladesorrow,Murder Row,1304,2680,f
92,5628,250228,Resonant Bellowstone,dungeon,Xathuux the Annihilator,Murder Row,1304,2681,f
93,5629,251136,Signet of Snarling Servitude,dungeon,Xathuux the Annihilator,Murder Row,1304,2681,f
94,5630,251137,Tempestuous Sandals,dungeon,Xathuux the Annihilator,Murder Row,1304,2681,f
95,5631,251135,Fury-fletched Armlets,dungeon,Xathuux the Annihilator,Murder Row,1304,2681,f
96,5632,251134,Xathuux's Cleave,dungeon,Xathuux the Annihilator,Murder Row,1304,2681,f
97,5633,250255,Unstable Felheart Crystal,dungeon,Lithiel Cinderfury,Murder Row,1304,2682,f
98,5634,251142,Pendant of Malefic Fury,dungeon,Lithiel Cinderfury,Murder Row,1304,2682,f
99,5635,251139,Summoner's Searing Shirt,dungeon,Lithiel Cinderfury,Murder Row,1304,2682,f
100,5636,251140,Vilefiend's Guise,dungeon,Lithiel Cinderfury,Murder Row,1304,2682,f
101,5637,251141,Lithiel's Linked Leggings,dungeon,Lithiel Cinderfury,Murder Row,1304,2682,f
102,5638,251138,Cinderfury Shoulderguards,dungeon,Lithiel Cinderfury,Murder Row,1304,2682,f
103,5639,256640,Pattern: Row Walker's Insurance,dungeon,Lithiel Cinderfury,Murder Row,1304,2682,f
104,5640,258487,Plans: Murder Row Fleet Feet,dungeon,Lithiel Cinderfury,Murder Row,1304,2682,f
105,5641,258518,Plans: Murder Row Fishhook,dungeon,Lithiel Cinderfury,Murder Row,1304,2682,f
106,5642,256746,Formula: Smuggler's Enchanted Edge,dungeon,Lithiel Cinderfury,Murder Row,1304,2682,f
107,5643,263238,Illicit Long Table,dungeon,Lithiel Cinderfury,Murder Row,1304,2682,f
108,5644,251205,Leyline Leggings,dungeon,Chief Corewright Kasreth,Nexus-Point Xenas,1316,2813,f
109,1055,251206,Fluxweave Cloak,dungeon,Chief Corewright Kasreth,Nexus-Point Xenas,1316,2813,f
110,5646,251204,Corewright's Zappers,dungeon,Chief Corewright Kasreth,Nexus-Point Xenas,1316,2813,f
111,5647,251203,Kasreth's Bindings,dungeon,Chief Corewright Kasreth,Nexus-Point Xenas,1316,2813,f
112,3785,251202,Reflux Reflector,dungeon,Chief Corewright Kasreth,Nexus-Point Xenas,1316,2813,f
113,5649,251201,Corespark Multitool,dungeon,Chief Corewright Kasreth,Nexus-Point Xenas,1316,2813,f
114,5650,250253,Whisper of the Duskwraith,dungeon,Corewarden Nysarra,Nexus-Point Xenas,1316,2814,f
115,236,251210,Eclipse Espadrilles,dungeon,Corewarden Nysarra,Nexus-Point Xenas,1316,2814,f
116,1192,251209,Corewarden Cuffs,dungeon,Corewarden Nysarra,Nexus-Point Xenas,1316,2814,f
117,5653,251208,Lightscarred Cuisses,dungeon,Corewarden Nysarra,Nexus-Point Xenas,1316,2814,f
118,3209,251207,Dreadflail Bludgeon,dungeon,Corewarden Nysarra,Nexus-Point Xenas,1316,2814,f
119,5655,251213,Nysarra's Mantle,dungeon,Corewarden Nysarra,Nexus-Point Xenas,1316,2814,f
120,13,251093,Omission of Light,dungeon,Corewarden Nysarra,Nexus-Point Xenas,1316,2814,f
121,5657,256716,Design: Prismatic Focusing Iris,dungeon,Lothraxion,Nexus-Point Xenas,1316,2815,f
122,5658,250241,Mark of Light,dungeon,Lothraxion,Nexus-Point Xenas,1316,2815,f
123,12,251217,Occlusion of Void,dungeon,Lothraxion,Nexus-Point Xenas,1316,2815,f
124,732,251216,Maledict Vest,dungeon,Lothraxion,Nexus-Point Xenas,1316,2815,f
125,3501,251215,Greaves of the Divine Guile,dungeon,Lothraxion,Nexus-Point Xenas,1316,2815,f
126,5662,251212,Radiant Slicer,dungeon,Lothraxion,Nexus-Point Xenas,1316,2815,f
127,5663,251157,Searing Spaulders,dungeon,Lothraxion,Nexus-Point Xenas,1316,2815,f
128,5664,251211,Fractured Fingerguards,dungeon,Lothraxion,Nexus-Point Xenas,1316,2815,f
129,5665,264338,Domanaar Control Console,dungeon,Lothraxion,Nexus-Point Xenas,1316,2815,f
130,5666,251185,Lightblossom Cinch,dungeon,Lightblossom Trinity,The Blinding Vale,1309,2769,f
131,5667,251183,Rootwarden Wraps,dungeon,Lightblossom Trinity,The Blinding Vale,1309,2769,f
132,5668,251184,Ironroot Collar,dungeon,Lightblossom Trinity,The Blinding Vale,1309,2769,f
133,5669,251182,Bedrock Breeches,dungeon,Lightblossom Trinity,The Blinding Vale,1309,2769,f
134,5670,251180,Thornblade,dungeon,Lightblossom Trinity,The Blinding Vale,1309,2769,f
135,5671,251181,Pruning Lance,dungeon,Lightblossom Trinity,The Blinding Vale,1309,2769,f
136,5672,250254,Seed of Radiant Hope,dungeon,Lightblossom Trinity,The Blinding Vale,1309,2769,f
137,5673,251190,Bloodthorn Burnous,dungeon,Ikuzz the Light Hunter,The Blinding Vale,1309,2770,f
138,5674,251189,Rootwalker Harness,dungeon,Ikuzz the Light Hunter,The Blinding Vale,1309,2770,f
139,5675,251187,Amirdrassil's Reach,dungeon,Ikuzz the Light Hunter,The Blinding Vale,1309,2770,f
140,5676,251186,Thorntalon Edge,dungeon,Ikuzz the Light Hunter,The Blinding Vale,1309,2770,f
141,5677,251188,Doompetal,dungeon,Ikuzz the Light Hunter,The Blinding Vale,1309,2770,f
142,5678,250238,Seed of the Devouring Wild,dungeon,Ikuzz the Light Hunter,The Blinding Vale,1309,2770,f
143,5679,250214,Lightspire Core,dungeon,Lightwarden Ruia,The Blinding Vale,1309,2771,f
144,5680,251194,Lightwarden's Bind,dungeon,Lightwarden Ruia,The Blinding Vale,1309,2771,f
145,5681,251191,Luminescent Sprout,dungeon,Lightwarden Ruia,The Blinding Vale,1309,2771,f
146,5682,251193,Taproot Ribs,dungeon,Lightwarden Ruia,The Blinding Vale,1309,2771,f
147,5683,251192,Branch of Pride,dungeon,Lightwarden Ruia,The Blinding Vale,1309,2771,f
148,5684,251165,Pulverizing Pads,dungeon,Lightwarden Ruia,The Blinding Vale,1309,2771,f
149,5685,251199,Worldroot Canopy,dungeon,Ziekket,The Blinding Vale,1309,2772,f
150,5686,251198,Lightspore Leggings,dungeon,Ziekket,The Blinding Vale,1309,2772,f
151,5687,251200,Saptorbane Guards,dungeon,Ziekket,The Blinding Vale,1309,2772,f
152,5688,251197,Thornspike Gauntlets,dungeon,Ziekket,The Blinding Vale,1309,2772,f
153,5689,251196,Teldrassil's Sacrifice,dungeon,Ziekket,The Blinding Vale,1309,2772,f
154,5690,251195,Thorned Reply,dungeon,Ziekket,The Blinding Vale,1309,2772,f
155,5691,250259,Sapling of the Dawnroot,dungeon,Ziekket,The Blinding Vale,1309,2772,f
156,5692,256652,Pattern: World Tender's Trunkplate,dungeon,Ziekket,The Blinding Vale,1309,2772,f
157,5693,256642,Pattern: Primal Spore Binding,dungeon,Ziekket,The Blinding Vale,1309,2772,f
158,5694,253451,Veilroot Fountain,dungeon,Ziekket,The Blinding Vale,1309,2772,f
159,5695,268728,Saptor Salve,dungeon,Ziekket,The Blinding Vale,1309,2772,f
160,5696,250225,Void Execution Mandate,dungeon,Taz'Rah,Voidscar Arena,1313,2791,f
161,5697,251219,Riftworn Stompers,dungeon,Taz'Rah,Voidscar Arena,1313,2791,f
162,5698,251222,Ethereal Netherwrap,dungeon,Taz'Rah,Voidscar Arena,1313,2791,f
163,5699,251223,Somber Spaulders,dungeon,Taz'Rah,Voidscar Arena,1313,2791,f
164,5700,251220,Voidscarred Crown,dungeon,Taz'Rah,Voidscar Arena,1313,2791,f
165,5701,251221,Despondent's Gauntlets,dungeon,Taz'Rah,Voidscar Arena,1313,2791,f
166,5702,251218,Taz'Rah's Cosmic Edge,dungeon,Taz'Rah,Voidscar Arena,1313,2791,f
167,5703,250245,Tumor of the Swarm,dungeon,Atroxus,Voidscar Arena,1313,2792,f
168,5704,251227,Poisoner's Pauldrons,dungeon,Atroxus,Voidscar Arena,1313,2792,f
169,5705,251226,Hide of Pestilence,dungeon,Atroxus,Voidscar Arena,1313,2792,f
170,5706,251228,Behemoth Waistband,dungeon,Atroxus,Voidscar Arena,1313,2792,f
171,5707,251229,Visor of the Predator,dungeon,Atroxus,Voidscar Arena,1313,2792,f
172,5708,251225,Fang of Contagion,dungeon,Atroxus,Voidscar Arena,1313,2792,f
173,5709,251224,Hulking Handaxe,dungeon,Atroxus,Voidscar Arena,1313,2792,f
174,5710,252258,Sickening Signet of Atroxus,dungeon,Atroxus,Voidscar Arena,1313,2792,f
175,5711,250224,Mindpiercer's Sigil,dungeon,Charonus,Voidscar Arena,1313,2793,f
176,5712,251234,Graft of the Domanaar,dungeon,Charonus,Voidscar Arena,1313,2793,f
177,5713,251232,Overseer's Diadem,dungeon,Charonus,Voidscar Arena,1313,2793,f
178,5714,251235,Gravitic Girdle,dungeon,Charonus,Voidscar Arena,1313,2793,f
179,5715,251233,Manipulator's Vest,dungeon,Charonus,Voidscar Arena,1313,2793,f
180,5716,251230,Charonic Crescent,dungeon,Charonus,Voidscar Arena,1313,2793,f
181,5717,251231,Singularity Slicer,dungeon,Charonus,Voidscar Arena,1313,2793,f
182,5718,256721,Design: Voidstone Shielding Array,dungeon,Charonus,Voidscar Arena,1313,2793,f
183,5719,264336,Voidlight Brazier,dungeon,Charonus,Voidscar Arena,1313,2793,f
184,457,251077,Roostwarden's Bough,dungeon,Emberdawn,Windrunner Spire,1299,2655,f
185,5721,251078,Emberdawn Defender,dungeon,Emberdawn,Windrunner Spire,1299,2655,f
186,1057,251079,Amberfrond Bracers,dungeon,Emberdawn,Windrunner Spire,1299,2655,f
187,5723,251080,Brambledawn Halo,dungeon,Emberdawn,Windrunner Spire,1299,2655,f
188,4148,251081,Embergrove Grasps,dungeon,Emberdawn,Windrunner Spire,1299,2655,f
189,190,251082,Snapvine Cinch,dungeon,Emberdawn,Windrunner Spire,1299,2655,f
190,149,250144,Emberwing Feather,dungeon,Emberdawn,Windrunner Spire,1299,2655,f
191,5727,250226,Latch's Crooked Hook,dungeon,Derelict Duo,Windrunner Spire,1299,2656,f
192,1871,251085,Mantle of Dark Devotion,dungeon,Derelict Duo,Windrunner Spire,1299,2656,f
193,3077,251087,Legwraps of Lingering Legacies,dungeon,Derelict Duo,Windrunner Spire,1299,2656,f
194,1061,251084,Whipcoil Sabatons,dungeon,Derelict Duo,Windrunner Spire,1299,2656,f
195,2603,251086,Riphook Defender,dungeon,Derelict Duo,Windrunner Spire,1299,2656,f
196,2866,251083,Excavating Cudgel,dungeon,Derelict Duo,Windrunner Spire,1299,2656,f
197,5733,250227,Kroluk's Warbanner,dungeon,Commander Kroluk,Windrunner Spire,1299,2657,f
198,1605,251090,Commander's Faded Breeches,dungeon,Commander Kroluk,Windrunner Spire,1299,2657,f
199,5735,251092,Fallen Grunt's Mantle,dungeon,Commander Kroluk,Windrunner Spire,1299,2657,f
200,5736,251089,Grips of Forgotten Honor,dungeon,Commander Kroluk,Windrunner Spire,1299,2657,f
201,4514,251091,Sabatons of Furious Revenge,dungeon,Commander Kroluk,Windrunner Spire,1299,2657,f
202,5738,251088,Warworn Cleaver,dungeon,Commander Kroluk,Windrunner Spire,1299,2657,f
203,14,250256,Heart of Wind,dungeon,The Restless Heart,Windrunner Spire,1299,2658,f
204,644,251096,Pendant of Aching Grief,dungeon,The Restless Heart,Windrunner Spire,1299,2658,f
205,5741,251099,Vest of the Howling Gale,dungeon,The Restless Heart,Windrunner Spire,1299,2658,f
206,5742,251097,Spaulders of Arrow's Flight,dungeon,The Restless Heart,Windrunner Spire,1299,2658,f
207,1596,251094,Sigil of the Restless Heart,dungeon,The Restless Heart,Windrunner Spire,1299,2658,f
208,5744,251098,Fletcher's Faded Faceplate,dungeon,The Restless Heart,Windrunner Spire,1299,2658,f
209,5745,251095,Hurricane's Heart,dungeon,The Restless Heart,Windrunner Spire,1299,2658,f
210,5746,258125,Pattern: Sunfire Sash,dungeon,The Restless Heart,Windrunner Spire,1299,2658,f
211,5747,256653,Pattern: Ranger-General's Grips,dungeon,The Restless Heart,Windrunner Spire,1299,2658,f
212,5748,256683,Silvermoon Training Dummy,dungeon,The Restless Heart,Windrunner Spire,1299,2658,f
213,5749,262914,Spectral Hawkstrider,dungeon,The Restless Heart,Windrunner Spire,1299,2658,f
214,5750,250462,Forgotten Farstrider's Insignia,world_boss,Lu'ashal,Midnight,1312,2827,f
215,5751,250456,Wretched Scholar's Gilded Robe,world_boss,Lu'ashal,Midnight,1312,2827,f
216,5752,250457,Devouring Outrider's Chausses,world_boss,Lu'ashal,Midnight,1312,2827,f
217,5753,250459,Bramblestalker's Feathered Cowl,world_boss,Lu'ashal,Midnight,1312,2827,f
218,5754,250458,Host Commander's Casque,world_boss,Lu'ashal,Midnight,1312,2827,f
219,5755,250451,Dawncrazed Beast Cleaver,world_boss,Lu'ashal,Midnight,1312,2827,f
220,5756,250453,Scepter of the Unbound Light,world_boss,Lu'ashal,Midnight,1312,2827,f
221,5757,250447,Radiant Eversong Scepter,world_boss,Lu'ashal,Midnight,1312,2827,f
222,5758,250449,Skulking Nettledirk,world_boss,Thorm'belan,Midnight,1312,2829,f
223,5759,250452,Blooming Thornblade,world_boss,Thorm'belan,Midnight,1312,2829,f
224,5760,250455,Beastly Blossombarb,world_boss,Thorm'belan,Midnight,1312,2829,f
225,5750,250462,Forgotten Farstrider's Insignia,world_boss,Thorm'belan,Midnight,1312,2829,f
226,5751,250456,Wretched Scholar's Gilded Robe,world_boss,Thorm'belan,Midnight,1312,2829,f
227,5752,250457,Devouring Outrider's Chausses,world_boss,Thorm'belan,Midnight,1312,2829,f
228,5753,250459,Bramblestalker's Feathered Cowl,world_boss,Thorm'belan,Midnight,1312,2829,f
229,5754,250458,Host Commander's Casque,world_boss,Thorm'belan,Midnight,1312,2829,f
230,5750,250462,Forgotten Farstrider's Insignia,world_boss,Predaxas,Midnight,1312,2828,f
231,5751,250456,Wretched Scholar's Gilded Robe,world_boss,Predaxas,Midnight,1312,2828,f
232,5752,250457,Devouring Outrider's Chausses,world_boss,Predaxas,Midnight,1312,2828,f
233,5753,250459,Bramblestalker's Feathered Cowl,world_boss,Predaxas,Midnight,1312,2828,f
234,5754,250458,Host Commander's Casque,world_boss,Predaxas,Midnight,1312,2828,f
235,5771,250460,Encroaching Shadow Signet,world_boss,Predaxas,Midnight,1312,2828,f
236,5772,250454,Devouring Vanguard's Soulcleaver,world_boss,Predaxas,Midnight,1312,2828,f
237,5773,250448,Voidbender's Spire,world_boss,Predaxas,Midnight,1312,2828,f
238,5750,250462,Forgotten Farstrider's Insignia,world_boss,Cragpine,Midnight,1312,2782,f
239,5751,250456,Wretched Scholar's Gilded Robe,world_boss,Cragpine,Midnight,1312,2782,f
240,5752,250457,Devouring Outrider's Chausses,world_boss,Cragpine,Midnight,1312,2782,f
241,5753,250459,Bramblestalker's Feathered Cowl,world_boss,Cragpine,Midnight,1312,2782,f
242,5754,250458,Host Commander's Casque,world_boss,Cragpine,Midnight,1312,2782,f
243,5779,250461,Chain of the Ancient Watcher,world_boss,Cragpine,Midnight,1312,2782,f
244,5780,250450,Forest Sentinel's Savage Longbow,world_boss,Cragpine,Midnight,1312,2782,f
245,5781,250446,Cragtender Bulwark,world_boss,Cragpine,Midnight,1312,2782,f
246,5782,256750,Formula: Enchant Weapon - Worldsoul Cradle,raid,Chimaerus the Undreamt God,The Dreamrift,1314,2795,f
247,5783,256656,Pattern: World Tender's Barkclasp,raid,Chimaerus the Undreamt God,The Dreamrift,1314,2795,f
248,5784,249347,Alnwoven Riftbloom,raid,Chimaerus the Undreamt God,The Dreamrift,1314,2795,f
249,5785,249348,Alncured Riftbloom,raid,Chimaerus the Undreamt God,The Dreamrift,1314,2795,f
250,5786,249349,Alncast Riftbloom,raid,Chimaerus the Undreamt God,The Dreamrift,1314,2795,f
251,5787,249350,Alnforged Riftbloom,raid,Chimaerus the Undreamt God,The Dreamrift,1314,2795,f
252,29,249343,Gaze of the Alnseer,raid,Chimaerus the Undreamt God,The Dreamrift,1314,2795,f
253,5789,249805,Undreamt God's Oozing Vestige,raid,Chimaerus the Undreamt God,The Dreamrift,1314,2795,f
254,592,249278,Alnscorned Spire,raid,Chimaerus the Undreamt God,The Dreamrift,1314,2795,f
255,742,249922,Tome of Alnscorned Regret,raid,Chimaerus the Undreamt God,The Dreamrift,1314,2795,f
256,1606,249373,Dream-Scorched Striders,raid,Chimaerus the Undreamt God,The Dreamrift,1314,2795,f
257,287,249374,Scorn-Scarred Shul'ka's Belt,raid,Chimaerus the Undreamt God,The Dreamrift,1314,2795,f
258,1096,249371,Scornbane Waistguard,raid,Chimaerus the Undreamt God,The Dreamrift,1314,2795,f
259,11,249381,Greaves of the Unformed,raid,Chimaerus the Undreamt God,The Dreamrift,1314,2795,f
260,5796,267645,Dreamrift Vanquisher's Argent Trophy,raid,Chimaerus the Undreamt God,The Dreamrift,1314,2795,f
261,5797,266886,Dreamrift Vanquisher's Gleaming Trophy,raid,Chimaerus the Undreamt God,The Dreamrift,1314,2795,f
262,5798,264246,Eerie Iridescent Riftshroom,raid,Chimaerus the Undreamt God,The Dreamrift,1314,2795,f
263,5799,265950,Dreamrift Vanquisher's Aureate Trophy,raid,Chimaerus the Undreamt God,The Dreamrift,1314,2795,f
264,2882,249293,Weight of Command,raid,Imperator Averzian,The Voidspire,1307,2733,f
265,30,249344,Light Company Guidon,raid,Imperator Averzian,The Voidspire,1307,2733,f
266,5802,249313,Light-Judged Spaulders,raid,Imperator Averzian,The Voidspire,1307,2733,f
267,5803,249310,Robes of the Voidbound,raid,Imperator Averzian,The Voidspire,1307,2733,f
268,5804,249306,Devouring Night's Visage,raid,Imperator Averzian,The Voidspire,1307,2733,f
269,5805,249275,Bulwark of Noble Resolve,raid,Imperator Averzian,The Voidspire,1307,2733,f
270,1244,249279,Sunstrike Rifle,raid,Imperator Averzian,The Voidspire,1307,2733,f
271,2562,249326,Light's March Bracers,raid,Imperator Averzian,The Voidspire,1307,2733,f
272,3779,249320,Sabatons of Obscurement,raid,Imperator Averzian,The Voidspire,1307,2733,f
273,602,249334,Void-Claimed Shinkickers,raid,Imperator Averzian,The Voidspire,1307,2733,f
274,5810,249323,Leggings of the Devouring Advance,raid,Imperator Averzian,The Voidspire,1307,2733,f
275,1325,249335,Imperator's Banner,raid,Imperator Averzian,The Voidspire,1307,2733,f
